sample_index,landmark_index,type,pred,type0_0,type0_1,type1_0,type1_1,type0_precision,type0_recall,type0_f1,type0_num,type1_precision,type1_recall,type1_f1,type1_num,overall_precision,overall_recall,overall_f1
113,71,wt-at,1,32,10,10,25,0.761904762,0.761904762,0.761904762,42,0.714285714,0.714285714,0.714285714,35,0.74025974,0.74025974,0.74025974
113,72,wt-at,0,33,9,12,23,0.733333333,0.785714286,0.75862069,42,0.71875,0.657142857,0.686567164,35,0.726704545,0.727272727,0.725869087
113,73,wt-at,0,36,6,15,20,0.705882353,0.857142857,0.774193548,42,0.769230769,0.571428571,0.655737705,35,0.734677088,0.727272727,0.720349983
113,74,wt-at,0,38,4,13,22,0.745098039,0.904761905,0.817204301,42,0.846153846,0.628571429,0.721311475,35,0.791032497,0.779220779,0.773616653
113,75,wt-at,0,38,4,21,14,0.644067797,0.904761905,0.752475248,42,0.777777778,0.4,0.528301887,35,0.704845061,0.675324675,0.650578265
113,76,wt-at,1,33,9,21,14,0.611111111,0.785714286,0.6875,42,0.608695652,0.4,0.482758621,35,0.610013175,0.61038961,0.594435737
113,77,wt-at,0,25,17,7,28,0.78125,0.595238095,0.675675676,42,0.622222222,0.8,0.7,35,0.708964646,0.688311688,0.686732187
113,78,wt-at,0,34,8,12,23,0.739130435,0.80952381,0.772727273,42,0.741935484,0.657142857,0.696969697,35,0.740405457,0.74025974,0.738292011
113,79,wt-at,0,36,6,12,23,0.75,0.857142857,0.8,42,0.793103448,0.657142857,0.71875,35,0.769592476,0.766233766,0.763068182
113,80,wt-at,0,37,5,12,23,0.755102041,0.880952381,0.813186813,42,0.821428571,0.657142857,0.73015873,35,0.785250464,0.779220779,0.775446775
113,81,wt-at,0,38,4,16,19,0.703703704,0.904761905,0.791666667,42,0.826086957,0.542857143,0.655172414,35,0.759332455,0.74025974,0.729623824
113,82,wt-at,0,37,5,17,18,0.685185185,0.880952381,0.770833333,42,0.782608696,0.514285714,0.620689655,35,0.729468599,0.714285714,0.702586207
113,83,wt-at,0,38,4,18,17,0.678571429,0.904761905,0.775510204,42,0.80952381,0.485714286,0.607142857,35,0.738095238,0.714285714,0.698979592
113,84,wt-at,1,37,5,19,16,0.660714286,0.880952381,0.755102041,42,0.761904762,0.457142857,0.571428571,35,0.706709957,0.688311688,0.6716141
113,85,wt-at,0,33,9,11,24,0.75,0.785714286,0.76744186,42,0.727272727,0.685714286,0.705882353,35,0.739669421,0.74025974,0.739460266
113,86,wt-at,0,36,6,15,20,0.705882353,0.857142857,0.774193548,42,0.769230769,0.571428571,0.655737705,35,0.734677088,0.727272727,0.720349983
113,87,wt-at,0,34,8,10,25,0.772727273,0.80952381,0.790697674,42,0.757575758,0.714285714,0.735294118,35,0.76584022,0.766233766,0.76551424
113,88,wt-at,0,33,9,7,28,0.825,0.785714286,0.804878049,42,0.756756757,0.8,0.777777778,35,0.793980344,0.792207792,0.792559744
113,89,wt-at,0,39,3,16,19,0.709090909,0.928571429,0.804123711,42,0.863636364,0.542857143,0.666666667,35,0.779338843,0.753246753,0.741643236
113,90,wt-at,0,32,10,13,22,0.711111111,0.761904762,0.735632184,42,0.6875,0.628571429,0.656716418,35,0.700378788,0.701298701,0.699761381
113,91,wt-at,1,35,7,11,24,0.760869565,0.833333333,0.795454545,42,0.774193548,0.685714286,0.727272727,35,0.766925921,0.766233766,0.76446281
113,92,wt-at,0,34,8,14,21,0.708333333,0.80952381,0.755555556,42,0.724137931,0.6,0.65625,35,0.715517241,0.714285714,0.710416667
113,93,wt-at,0,35,7,14,21,0.714285714,0.833333333,0.769230769,42,0.75,0.6,0.666666667,35,0.730519481,0.727272727,0.722610723
113,94,wt-at,0,39,3,12,23,0.764705882,0.928571429,0.838709677,42,0.884615385,0.657142857,0.754098361,35,0.819210202,0.805194805,0.800249988
113,95,wt-at,0,39,3,11,24,0.78,0.928571429,0.847826087,42,0.888888889,0.685714286,0.774193548,35,0.829494949,0.818181818,0.814356751
113,96,wt-at,0,33,9,8,27,0.804878049,0.785714286,0.795180723,42,0.75,0.771428571,0.76056338,35,0.779933481,0.779220779,0.779445567
113,97,wt-at,0,39,3,14,21,0.735849057,0.928571429,0.821052632,42,0.875,0.6,0.711864407,35,0.799099485,0.779220779,0.77142162
113,98,wt-at,1,38,4,18,17,0.678571429,0.904761905,0.775510204,42,0.80952381,0.485714286,0.607142857,35,0.738095238,0.714285714,0.698979592
113,99,wt-at,1,36,6,11,24,0.765957447,0.857142857,0.808988764,42,0.8,0.685714286,0.738461538,35,0.781431335,0.779220779,0.776930934
113,100,wt-at,0,39,3,12,23,0.764705882,0.928571429,0.838709677,42,0.884615385,0.657142857,0.754098361,35,0.819210202,0.805194805,0.800249988
113,101,wt-at,0,37,5,13,22,0.74,0.880952381,0.804347826,42,0.814814815,0.628571429,0.709677419,35,0.774006734,0.766233766,0.761315823
113,102,wt-at,0,34,8,8,27,0.80952381,0.80952381,0.80952381,42,0.771428571,0.771428571,0.771428571,35,0.792207792,0.792207792,0.792207792
113,103,wt-at,0,39,3,14,21,0.735849057,0.928571429,0.821052632,42,0.875,0.6,0.711864407,35,0.799099485,0.779220779,0.77142162
113,104,wt-at,0,33,9,4,31,0.891891892,0.785714286,0.835443038,42,0.775,0.885714286,0.826666667,35,0.838759214,0.831168831,0.831453778
113,105,wt-at,0,40,2,6,29,0.869565217,0.952380952,0.909090909,42,0.935483871,0.828571429,0.878787879,35,0.899528242,0.896103896,0.895316804
113,106,wt-at,0,34,8,7,28,0.829268293,0.80952381,0.819277108,42,0.777777778,0.8,0.788732394,35,0.805863513,0.805194805,0.805393147
113,107,wt-at,1,29,13,8,27,0.783783784,0.69047619,0.734177215,42,0.675,0.771428571,0.72,35,0.734336609,0.727272727,0.727733026
113,108,wt-at,0,40,2,19,16,0.677966102,0.952380952,0.792079208,42,0.888888889,0.457142857,0.603773585,35,0.773840096,0.727272727,0.706485743
113,109,wt-at,0,35,7,7,28,0.833333333,0.833333333,0.833333333,42,0.8,0.8,0.8,35,0.818181818,0.818181818,0.818181818
113,110,wt-at,0,37,5,13,22,0.74,0.880952381,0.804347826,42,0.814814815,0.628571429,0.709677419,35,0.774006734,0.766233766,0.761315823
113,111,wt-at,0,36,6,10,25,0.782608696,0.857142857,0.818181818,42,0.806451613,0.714285714,0.757575758,35,0.793446385,0.792207792,0.790633609
113,112,wt-at,0,37,5,6,29,0.860465116,0.880952381,0.870588235,42,0.852941176,0.828571429,0.84057971,35,0.857045144,0.857142857,0.856947997
113,113,wt-at,0,36,6,4,31,0.9,0.857142857,0.87804878,42,0.837837838,0.885714286,0.861111111,35,0.871744472,0.87012987,0.87034984
113,114,wt-at,0,33,9,2,33,0.942857143,0.785714286,0.857142857,42,0.785714286,0.942857143,0.857142857,35,0.871428571,0.857142857,0.857142857
113,115,wt-at,0,41,1,8,27,0.836734694,0.976190476,0.901098901,42,0.964285714,0.771428571,0.857142857,35,0.89471243,0.883116883,0.881118881
113,116,wt-at,0,39,3,8,27,0.829787234,0.928571429,0.876404494,42,0.9,0.771428571,0.830769231,35,0.861702128,0.857142857,0.855661193
113,117,wt-at,0,39,3,11,24,0.78,0.928571429,0.847826087,42,0.888888889,0.685714286,0.774193548,35,0.829494949,0.818181818,0.814356751
113,118,wt-at,0,36,6,13,22,0.734693878,0.857142857,0.791208791,42,0.785714286,0.628571429,0.698412698,35,0.757884972,0.753246753,0.749028749
113,119,wt-at,0,37,5,17,18,0.685185185,0.880952381,0.770833333,42,0.782608696,0.514285714,0.620689655,35,0.729468599,0.714285714,0.702586207
113,120,wt-at,0,33,9,7,28,0.825,0.785714286,0.804878049,42,0.756756757,0.8,0.777777778,35,0.793980344,0.792207792,0.792559744
113,121,wt-at,0,36,6,3,32,0.923076923,0.857142857,0.888888889,42,0.842105263,0.914285714,0.876712329,35,0.886271623,0.883116883,0.883354089
113,122,wt-at,0,32,10,2,33,0.941176471,0.761904762,0.842105263,42,0.76744186,0.942857143,0.846153846,35,0.862206193,0.844155844,0.843945528
113,123,wt-at,0,35,7,5,30,0.875,0.833333333,0.853658537,42,0.810810811,0.857142857,0.833333333,35,0.845823096,0.844155844,0.844419808
113,124,wt-at,0,38,4,5,30,0.88372093,0.904761905,0.894117647,42,0.882352941,0.857142857,0.869565217,35,0.883099117,0.883116883,0.882957452
113,125,wt-at,0,34,8,7,28,0.829268293,0.80952381,0.819277108,42,0.777777778,0.8,0.788732394,35,0.805863513,0.805194805,0.805393147
113,126,wt-at,0,34,8,9,26,0.790697674,0.80952381,0.8,42,0.764705882,0.742857143,0.753623188,35,0.778883223,0.779220779,0.778919631
113,127,wt-at,0,39,3,9,26,0.8125,0.928571429,0.866666667,42,0.896551724,0.742857143,0.8125,35,0.850705329,0.844155844,0.842045455
113,128,wt-at,0,22,20,1,34,0.956521739,0.523809524,0.676923077,42,0.62962963,0.971428571,0.764044944,35,0.807934417,0.727272727,0.716523926
113,129,wt-at,0,42,0,1,34,0.976744186,1,0.988235294,42,1,0.971428571,0.985507246,35,0.987315011,0.987012987,0.986995272
113,130,wt-at,0,39,3,1,34,0.975,0.928571429,0.951219512,42,0.918918919,0.971428571,0.944444444,35,0.9495086,0.948051948,0.948139936
113,131,wt-at,0,26,16,2,33,0.928571429,0.619047619,0.742857143,42,0.673469388,0.942857143,0.785714286,35,0.812615955,0.766233766,0.762337662
113,132,wt-at,0,32,10,2,33,0.941176471,0.761904762,0.842105263,42,0.76744186,0.942857143,0.846153846,35,0.862206193,0.844155844,0.843945528
113,133,wt-at,0,40,2,3,32,0.930232558,0.952380952,0.941176471,42,0.941176471,0.914285714,0.927536232,35,0.935207064,0.935064935,0.934976362
113,134,wt-at,0,21,21,2,33,0.913043478,0.5,0.646153846,42,0.611111111,0.942857143,0.741573034,35,0.775801493,0.701298701,0.689526204
113,135,wt-at,1,37,5,1,34,0.973684211,0.880952381,0.925,42,0.871794872,0.971428571,0.918918919,35,0.927370875,0.922077922,0.922235872
113,136,wt-at,0,42,0,1,34,0.976744186,1,0.988235294,42,1,0.971428571,0.985507246,35,0.987315011,0.987012987,0.986995272
113,137,wt-at,0,41,1,0,35,1,0.976190476,0.987951807,42,0.972222222,1,0.985915493,35,0.987373737,0.987012987,0.98702621
113,138,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,139,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,140,wt-at,0,41,1,0,35,1,0.976190476,0.987951807,42,0.972222222,1,0.985915493,35,0.987373737,0.987012987,0.98702621
113,141,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,142,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,143,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,144,wt-at,0,41,1,0,35,1,0.976190476,0.987951807,42,0.972222222,1,0.985915493,35,0.987373737,0.987012987,0.98702621
113,145,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,146,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
113,147,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,148,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,149,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,150,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,151,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
113,152,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,1,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
107,2,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
107,3,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
107,4,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,5,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,6,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,7,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
107,8,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
107,9,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,10,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,11,wt-at,0,40,2,1,34,0.975609756,0.952380952,0.963855422,42,0.944444444,0.971428571,0.957746479,35,0.961443705,0.961038961,0.961078629
107,12,wt-at,0,42,0,0,35,1,1,1,42,1,1,1,35,1,1,1
107,13,wt-at,0,42,0,1,34,0.976744186,1,0.988235294,42,1,0.971428571,0.985507246,35,0.987315011,0.987012987,0.986995272
107,14,wt-at,0,37,5,1,34,0.973684211,0.880952381,0.925,42,0.871794872,0.971428571,0.918918919,35,0.927370875,0.922077922,0.922235872
107,15,wt-at,0,42,0,1,34,0.976744186,1,0.988235294,42,1,0.971428571,0.985507246,35,0.987315011,0.987012987,0.986995272
107,16,wt-at,0,42,0,35,0,0.545454545,1,0.705882353,42,0,0,0,35,0.297520661,0.545454545,0.385026738
107,17,wt-at,0,37,5,1,34,0.973684211,0.880952381,0.925,42,0.871794872,0.971428571,0.918918919,35,0.927370875,0.922077922,0.922235872
107,18,wt-at,0,39,3,1,34,0.975,0.928571429,0.951219512,42,0.918918919,0.971428571,0.944444444,35,0.9495086,0.948051948,0.948139936
107,19,wt-at,0,27,15,4,31,0.870967742,0.642857143,0.739726027,42,0.673913043,0.885714286,0.765432099,35,0.781397424,0.753246753,0.751410605
107,20,wt-at,0,24,18,3,32,0.888888889,0.571428571,0.695652174,42,0.64,0.914285714,0.752941176,35,0.775757576,0.727272727,0.72169263
107,21,wt-at,0,37,5,3,32,0.925,0.880952381,0.902439024,42,0.864864865,0.914285714,0.888888889,35,0.897665848,0.896103896,0.896279872
107,22,wt-at,0,42,0,4,31,0.913043478,1,0.954545455,42,1,0.885714286,0.939393939,35,0.95256917,0.948051948,0.947658402
107,23,wt-at,0,42,0,2,33,0.954545455,1,0.976744186,42,1,0.942857143,0.970588235,35,0.975206612,0.974025974,0.973946027
107,24,wt-at,0,41,1,1,34,0.976190476,0.976190476,0.976190476,42,0.971428571,0.971428571,0.971428571,35,0.974025974,0.974025974,0.974025974
107,25,wt-at,0,31,11,6,29,0.837837838,0.738095238,0.784810127,42,0.725,0.828571429,0.773333333,35,0.786547912,0.779220779,0.779593402
107,26,wt-at,0,34,8,6,29,0.85,0.80952381,0.829268293,42,0.783783784,0.828571429,0.805555556,35,0.81990172,0.818181818,0.818489776
107,27,wt-at,0,37,5,8,27,0.822222222,0.880952381,0.850574713,42,0.84375,0.771428571,0.805970149,35,0.832007576,0.831168831,0.830299911
107,28,wt-at,0,37,5,9,26,0.804347826,0.880952381,0.840909091,42,0.838709677,0.742857143,0.787878788,35,0.819966849,0.818181818,0.816804408
107,29,wt-at,0,36,6,8,27,0.818181818,0.857142857,0.837209302,42,0.818181818,0.771428571,0.794117647,35,0.818181818,0.818181818,0.817622186
107,30,wt-at,0,34,8,9,26,0.790697674,0.80952381,0.8,42,0.764705882,0.742857143,0.753623188,35,0.778883223,0.779220779,0.778919631
107,31,wt-at,0,41,1,9,26,0.82,0.976190476,0.891304348,42,0.962962963,0.742857143,0.838709677,35,0.884983165,0.87012987,0.867397679
107,32,wt-at,0,29,13,4,31,0.878787879,0.69047619,0.773333333,42,0.704545455,0.885714286,0.784810127,35,0.799586777,0.779220779,0.778550058
107,33,wt-at,0,35,7,9,26,0.795454545,0.833333333,0.813953488,42,0.787878788,0.742857143,0.764705882,35,0.792011019,0.792207792,0.791568213
107,34,wt-at,0,38,4,9,26,0.808510638,0.904761905,0.853932584,42,0.866666667,0.742857143,0.8,35,0.834945197,0.831168831,0.829417773
107,35,wt-at,0,39,3,9,26,0.8125,0.928571429,0.866666667,42,0.896551724,0.742857143,0.8125,35,0.850705329,0.844155844,0.842045455
107,36,wt-at,0,37,5,15,20,0.711538462,0.880952381,0.787234043,42,0.8,0.571428571,0.666666667,35,0.751748252,0.74025974,0.73243069
107,37,wt-at,0,35,7,8,27,0.813953488,0.833333333,0.823529412,42,0.794117647,0.771428571,0.782608696,35,0.804937197,0.805194805,0.804929086
107,38,wt-at,0,37,5,16,19,0.698113208,0.880952381,0.778947368,42,0.791666667,0.542857143,0.644067797,35,0.740637507,0.727272727,0.717638472
107,39,wt-at,0,37,5,15,20,0.711538462,0.880952381,0.787234043,42,0.8,0.571428571,0.666666667,35,0.751748252,0.74025974,0.73243069
107,40,wt-at,0,39,3,11,24,0.78,0.928571429,0.847826087,42,0.888888889,0.685714286,0.774193548,35,0.829494949,0.818181818,0.814356751
107,41,wt-at,0,34,8,7,28,0.829268293,0.80952381,0.819277108,42,0.777777778,0.8,0.788732394,35,0.805863513,0.805194805,0.805393147
107,42,wt-at,0,35,7,9,26,0.795454545,0.833333333,0.813953488,42,0.787878788,0.742857143,0.764705882,35,0.792011019,0.792207792,0.791568213
107,43,wt-at,0,42,0,18,17,0.7,1,0.823529412,42,1,0.485714286,0.653846154,35,0.836363636,0.766233766,0.746400658
