sample_index, landmark_index, pred, ww, wm, mm, mw
320, 1, 1, 0, 35, 43, 0
320, 2, 1, 0, 35, 43, 0
320, 3, 1, 0, 35, 43, 0
320, 4, 1, 0, 35, 43, 0
320, 5, 1, 0, 35, 43, 0
320, 6, 1, 0, 35, 43, 0
320, 7, 1, 0, 35, 43, 0
320, 8, 1, 0, 35, 43, 0
320, 9, 1, 0, 35, 43, 0
320, 10, 1, 0, 35, 43, 0
320, 11, 0, 35, 0, 43, 0
320, 12, 0, 35, 0, 43, 0
320, 13, 0, 35, 0, 43, 0
320, 14, 0, 35, 0, 43, 0
320, 15, 0, 35, 0, 43, 0
320, 16, 0, 35, 0, 43, 0
320, 17, 0, 35, 0, 42, 1
320, 18, 0, 33, 2, 43, 0
320, 19, 0, 34, 1, 37, 6
320, 20, 0, 33, 2, 33, 10
320, 21, 0, 34, 1, 36, 7
320, 22, 0, 34, 1, 37, 6
320, 23, 0, 32, 3, 42, 1
320, 24, 0, 35, 0, 42, 1
320, 25, 0, 33, 2, 37, 6
320, 26, 0, 29, 6, 36, 7
320, 27, 0, 23, 12, 31, 12
320, 28, 0, 25, 10, 25, 18
320, 29, 0, 23, 12, 25, 18
320, 30, 0, 28, 7, 25, 18
320, 31, 0, 27, 8, 23, 20
320, 32, 1, 4, 31, 31, 12
320, 33, 0, 25, 10, 34, 9
320, 34, 0, 24, 11, 26, 17
320, 35, 0, 11, 24, 38, 5
320, 36, 0, 32, 3, 5, 38
320, 37, 1, 14, 21, 29, 14
320, 38, 1, 7, 28, 40, 3
320, 39, 0, 15, 20, 36, 7
320, 40, 0, 29, 6, 25, 18
320, 41, 1, 25, 10, 33, 10
320, 42, 1, 15, 20, 34, 9
320, 43, 1, 27, 8, 23, 20
320, 44, 1, 19, 16, 32, 11
320, 45, 1, 24, 11, 28, 15
320, 46, 1, 22, 13, 31, 12
320, 47, 1, 28, 7, 28, 15
320, 48, 1, 24, 11, 28, 15
320, 49, 0, 26, 9, 35, 8
320, 50, 0, 23, 12, 33, 10
320, 51, 0, 18, 17, 36, 7
320, 52, 0, 15, 20, 38, 5
320, 53, 0, 26, 9, 33, 10
320, 54, 0, 26, 9, 31, 12
320, 55, 1, 24, 11, 34, 9
320, 56, 1, 18, 17, 37, 6
320, 57, 0, 24, 11, 30, 13
320, 58, 0, 23, 12, 35, 8
320, 59, 0, 16, 19, 36, 7
320, 60, 0, 14, 21, 39, 4
320, 61, 0, 24, 11, 29, 14
320, 62, 0, 27, 8, 32, 11
320, 63, 0, 28, 7, 34, 9
320, 64, 0, 20, 15, 35, 8
320, 65, 0, 21, 14, 35, 8
320, 66, 0, 12, 23, 40, 3
320, 67, 0, 13, 22, 40, 3
320, 68, 0, 13, 22, 40, 3
320, 69, 0, 21, 14, 34, 9
320, 70, 0, 22, 13, 31, 12
320, 71, 0, 21, 14, 32, 11
320, 72, 0, 22, 13, 36, 7
320, 73, 0, 18, 17, 32, 11
320, 74, 0, 14, 21, 38, 5
320, 75, 0, 11, 24, 39, 4
320, 76, 1, 11, 24, 42, 1
320, 77, 0, 13, 22, 36, 7
320, 78, 0, 18, 17, 30, 13
320, 79, 1, 25, 10, 33, 10
320, 80, 0, 12, 23, 40, 3
320, 81, 1, 20, 15, 34, 9
320, 82, 1, 19, 16, 36, 7
320, 83, 0, 21, 14, 32, 11
320, 84, 0, 11, 24, 41, 2
320, 85, 0, 21, 14, 32, 11
320, 86, 0, 20, 15, 35, 8
320, 87, 0, 25, 10, 32, 11
320, 88, 1, 21, 14, 34, 9
320, 89, 1, 21, 14, 30, 13
320, 90, 0, 20, 15, 32, 11
320, 91, 0, 19, 16, 39, 4
320, 92, 1, 15, 20, 36, 7
320, 93, 0, 18, 17, 32, 11
320, 94, 1, 20, 15, 29, 14
320, 95, 1, 24, 11, 32, 11
320, 96, 1, 17, 18, 37, 6
320, 97, 1, 23, 12, 28, 15
320, 98, 1, 28, 7, 28, 15
320, 99, 1, 13, 22, 40, 3
320, 100, 0, 24, 11, 30, 13
320, 101, 0, 21, 14, 32, 11
320, 102, 0, 25, 10, 29, 14
320, 103, 1, 28, 7, 29, 14
320, 104, 1, 16, 19, 37, 6
320, 105, 1, 26, 9, 28, 15
320, 106, 1, 25, 10, 27, 16
320, 107, 1, 24, 11, 28, 15
320, 108, 0, 24, 11, 30, 13
320, 109, 1, 21, 14, 34, 9
320, 110, 1, 18, 17, 39, 4
320, 111, 1, 22, 13, 31, 12
320, 112, 1, 25, 10, 24, 19
320, 113, 1, 25, 10, 36, 7
320, 114, 1, 20, 15, 37, 6
320, 115, 0, 18, 17, 23, 20
320, 116, 0, 16, 19, 28, 15
320, 117, 0, 21, 14, 26, 17
320, 118, 0, 10, 25, 40, 3
320, 119, 1, 24, 11, 19, 24
320, 120, 1, 19, 16, 25, 18
320, 121, 0, 8, 27, 29, 14
320, 122, 1, 4, 31, 38, 5
320, 123, 1, 25, 10, 27, 16
320, 124, 0, 32, 3, 34, 9
320, 125, 1, 0, 35, 43, 0
320, 126, 1, 3, 32, 41, 2
320, 127, 1, 28, 7, 32, 11
320, 128, 1, 30, 5, 31, 12
320, 129, 0, 33, 2, 42, 1
320, 130, 1, 31, 4, 42, 1
320, 131, 0, 34, 1, 40, 3
320, 132, 0, 34, 1, 38, 5
320, 133, 0, 34, 1, 37, 6
320, 134, 1, 1, 34, 43, 0
320, 135, 0, 35, 0, 36, 7
320, 136, 0, 34, 1, 38, 5
320, 137, 0, 35, 0, 43, 0
320, 138, 0, 35, 0, 43, 0
320, 139, 0, 34, 1, 43, 0
320, 140, 0, 34, 1, 43, 0
320, 141, 0, 34, 1, 43, 0
320, 142, 0, 35, 0, 43, 0
320, 143, 0, 35, 0, 43, 0
320, 144, 0, 35, 0, 43, 0
320, 145, 1, 0, 35, 43, 0
320, 146, 1, 0, 35, 43, 0
320, 147, 0, 35, 0, 43, 0
320, 148, 0, 35, 0, 43, 0
320, 149, 0, 35, 0, 43, 0
320, 150, 0, 35, 0, 43, 0
320, 151, 0, 35, 0, 43, 0
320, 152, 0, 35, 0, 43, 0
