sample_index, landmark_index, pred, ww, wm, mm, mw
24, 1, 1, 0, 35, 43, 0
24, 2, 1, 0, 35, 43, 0
24, 3, 1, 0, 35, 43, 0
24, 4, 1, 0, 35, 43, 0
24, 5, 1, 0, 35, 43, 0
24, 6, 1, 0, 35, 43, 0
24, 7, 1, 0, 35, 43, 0
24, 8, 1, 0, 35, 43, 0
24, 9, 1, 0, 35, 43, 0
24, 10, 1, 0, 35, 43, 0
24, 11, 0, 35, 0, 43, 0
24, 12, 0, 35, 0, 43, 0
24, 13, 0, 35, 0, 43, 0
24, 14, 0, 35, 0, 43, 0
24, 15, 0, 35, 0, 43, 0
24, 16, 0, 35, 0, 43, 0
24, 17, 0, 35, 0, 42, 1
24, 18, 0, 33, 2, 43, 0
24, 19, 0, 34, 1, 37, 6
24, 20, 0, 33, 2, 33, 10
24, 21, 0, 34, 1, 36, 7
24, 22, 0, 34, 1, 37, 6
24, 23, 0, 32, 3, 42, 1
24, 24, 0, 35, 0, 42, 1
24, 25, 0, 33, 2, 37, 6
24, 26, 0, 29, 6, 36, 7
24, 27, 0, 23, 12, 31, 12
24, 28, 0, 25, 10, 25, 18
24, 29, 0, 23, 12, 25, 18
24, 30, 0, 28, 7, 25, 18
24, 31, 0, 27, 8, 23, 20
24, 32, 1, 4, 31, 31, 12
24, 33, 0, 25, 10, 34, 9
24, 34, 1, 24, 11, 26, 17
24, 35, 1, 11, 24, 38, 5
24, 36, 0, 32, 3, 5, 38
24, 37, 0, 14, 21, 29, 14
24, 38, 1, 7, 28, 40, 3
24, 39, 0, 15, 20, 36, 7
24, 40, 0, 29, 6, 25, 18
24, 41, 0, 25, 10, 33, 10
24, 42, 0, 15, 20, 34, 9
24, 43, 0, 27, 8, 23, 20
24, 44, 1, 19, 16, 32, 11
24, 45, 0, 24, 11, 28, 15
24, 46, 0, 22, 13, 31, 12
24, 47, 0, 28, 7, 28, 15
24, 48, 0, 24, 11, 28, 15
24, 49, 0, 26, 9, 35, 8
24, 50, 0, 23, 12, 33, 10
24, 51, 1, 18, 17, 36, 7
24, 52, 1, 15, 20, 38, 5
24, 53, 0, 26, 9, 33, 10
24, 54, 1, 26, 9, 31, 12
24, 55, 1, 24, 11, 34, 9
24, 56, 1, 18, 17, 37, 6
24, 57, 0, 24, 11, 30, 13
24, 58, 0, 23, 12, 35, 8
24, 59, 1, 16, 19, 36, 7
24, 60, 1, 14, 21, 39, 4
24, 61, 0, 24, 11, 29, 14
24, 62, 0, 27, 8, 32, 11
24, 63, 0, 28, 7, 34, 9
24, 64, 1, 20, 15, 35, 8
24, 65, 0, 21, 14, 35, 8
24, 66, 1, 12, 23, 40, 3
24, 67, 1, 13, 22, 40, 3
24, 68, 1, 13, 22, 40, 3
24, 69, 0, 21, 14, 34, 9
24, 70, 0, 22, 13, 31, 12
24, 71, 1, 21, 14, 32, 11
24, 72, 0, 22, 13, 36, 7
24, 73, 1, 18, 17, 32, 11
24, 74, 1, 14, 21, 38, 5
24, 75, 1, 11, 24, 39, 4
24, 76, 1, 11, 24, 42, 1
24, 77, 0, 13, 22, 36, 7
24, 78, 1, 18, 17, 30, 13
24, 79, 0, 25, 10, 33, 10
24, 80, 1, 12, 23, 40, 3
24, 81, 0, 20, 15, 34, 9
24, 82, 1, 19, 16, 36, 7
24, 83, 0, 21, 14, 32, 11
24, 84, 1, 11, 24, 41, 2
24, 85, 0, 21, 14, 32, 11
24, 86, 0, 20, 15, 35, 8
24, 87, 0, 25, 10, 32, 11
24, 88, 0, 21, 14, 34, 9
24, 89, 0, 21, 14, 30, 13
24, 90, 1, 20, 15, 32, 11
24, 91, 1, 19, 16, 39, 4
24, 92, 1, 15, 20, 36, 7
24, 93, 0, 18, 17, 32, 11
24, 94, 0, 20, 15, 29, 14
24, 95, 0, 24, 11, 32, 11
