sample_index,pts,r,stype,landmark_index
323,0,0,mt-at,3
324,0,0,mt-at,3
325,0,0,mt-at,3
326,0,0,mt-at,3
327,0,0,mt-at,3
328,0,0,mt-at,3
329,0,0,mt-at,3
330,0,0,mt-at,3
331,0,0,mt-at,3
332,0,0,mt-at,3
333,0,0,mt-at,3
334,0,0,mt-at,3
335,0,0,mt-at,3
336,0,0,mt-at,3
337,0,0,mt-at,3
338,0,0,mt-at,3
339,0,0,mt-at,3
340,0,0,mt-at,3
4,0,0,mt-at,3
5,0,0,mt-at,3
6,0,0,mt-at,3
1,0,0,mt-at,4
101,0,7.063969395,wt-at,4
102,0,7.063969395,wt-at,4
103,0,7.063969395,wt-at,4
104,0,7.063969395,wt-at,4
105,0,7.063969395,wt-at,4
106,0,7.063969395,wt-at,4
107,0,7.063969395,wt-at,4
108,0,7.063969395,wt-at,4
109,0,7.063969395,wt-at,4
110,0,7.063969395,wt-at,4
111,0,7.063969395,wt-at,4
112_1,0,7.063969395,wt-at,4
112_2,0,0,mt-at,4
113,0,7.063969395,wt-at,4
114,0,7.063969395,wt-at,4
115,0,7.063969395,wt-at,4
116,0,7.063969395,wt-at,4
117,0,7.063969395,wt-at,4
118,0,7.063969395,wt-at,4
119,0,7.063969395,wt-at,4
120,0,7.063969395,wt-at,4
121,0,7.063969395,wt-at,4
122,0,7.063969395,wt-at,4
123,0,7.063969395,wt-at,4
124,0,7.063969395,wt-at,4
125,0,7.063969395,wt-at,4
126,0,7.063969395,wt-at,4
127,0,7.063969395,wt-at,4
128,0,7.063969395,wt-at,4
129,0,7.063969395,wt-at,4
130,0,7.063969395,wt-at,4
131,0,7.063969395,wt-at,4
132,1029,7.063969395,wt-at,4
133,0,7.063969395,wt-at,4
134,0,7.063969395,wt-at,4
135,0,7.063969395,wt-at,4
136,0,7.063969395,wt-at,4
137,0,7.063969395,wt-at,4
138,0,7.063969395,wt-at,4
139,0,7.063969395,wt-at,4
140,0,7.063969395,wt-at,4
141,0,7.063969395,wt-at,4
142,0,7.063969395,wt-at,4
143,0,7.063969395,wt-at,4
152,0,0,mt-at,4
172,0,0,mt-at,4
19,0,0,mt-at,4
2,0,0,mt-at,4
21,0,0,mt-at,4
24,0,0,mt-at,4
3,0,0,mt-at,4
317,0,0,mt-at,4
318,0,0,mt-at,4
319,0,0,mt-at,4
320,0,0,mt-at,4
321,0,0,mt-at,4
323,0,0,mt-at,4
324,0,0,mt-at,4
325,0,0,mt-at,4
326,0,0,mt-at,4
327,0,0,mt-at,4
328,0,0,mt-at,4
329,0,0,mt-at,4
330,0,0,mt-at,4
331,0,0,mt-at,4
332,0,0,mt-at,4
333,0,0,mt-at,4
334,0,0,mt-at,4
335,0,0,mt-at,4
336,0,0,mt-at,4
337,0,0,mt-at,4
338,0,0,mt-at,4
339,0,0,mt-at,4
340,0,0,mt-at,4
4,0,0,mt-at,4
5,0,0,mt-at,4
6,0,0,mt-at,4
1,0,0,mt-at,5
101,0,7.188516933,wt-at,5
102,0,7.188516933,wt-at,5
103,508,6.820667128,wt-at,5
104,0,7.188516933,wt-at,5
105,0,7.188516933,wt-at,5
106,0,7.188516933,wt-at,5
107,0,7.188516933,wt-at,5
108,0,7.188516933,wt-at,5
109,0,7.188516933,wt-at,5
110,0,7.188516933,wt-at,5
111,0,7.188516933,wt-at,5
112_1,0,7.188516933,wt-at,5
112_2,0,0,mt-at,5
113,0,7.188516933,wt-at,5
114,0,7.188516933,wt-at,5
115,0,7.188516933,wt-at,5
116,0,7.188516933,wt-at,5
117,0,7.188516933,wt-at,5
118,0,7.188516933,wt-at,5
119,0,7.188516933,wt-at,5
120,0,7.188516933,wt-at,5
121,0,7.188516933,wt-at,5
122,0,7.188516933,wt-at,5
123,0,7.188516933,wt-at,5
124,0,7.188516933,wt-at,5
125,0,7.188516933,wt-at,5
126,0,7.188516933,wt-at,5
127,0,7.188516933,wt-at,5
128,0,7.188516933,wt-at,5
129,0,7.188516933,wt-at,5
130,0,7.188516933,wt-at,5
131,0,7.188516933,wt-at,5
132,107,7.556366739,wt-at,5
133,0,7.188516933,wt-at,5
134,0,7.188516933,wt-at,5
135,0,7.188516933,wt-at,5
136,0,7.188516933,wt-at,5
137,0,7.188516933,wt-at,5
138,0,7.188516933,wt-at,5
139,0,7.188516933,wt-at,5
140,0,7.188516933,wt-at,5
141,0,7.188516933,wt-at,5
