sample_index,pts,r,stype,landmark_index
320,0,0,mt-zrf,3
321,0,0,mt-zrf,3
323,0,0,mt-zrf,3
324,0,0,mt-zrf,3
325,0,0,mt-zrf,3
326,0,0,mt-zrf,3
327,0,0,mt-zrf,3
328,0,0,mt-zrf,3
329,0,0,mt-zrf,3
330,0,0,mt-zrf,3
331,0,0,mt-zrf,3
332,0,0,mt-zrf,3
333,0,0,mt-zrf,3
334,0,0,mt-zrf,3
335,0,0,mt-zrf,3
336,0,0,mt-zrf,3
337,0,0,mt-zrf,3
338,0,0,mt-zrf,3
339,0,0,mt-zrf,3
340,0,0,mt-zrf,3
4,0,0,mt-zrf,3
5,0,0,mt-zrf,3
6,0,0,mt-zrf,3
1,0,0,mt-zrf,4
101,0,0,wt-zrf,4
102,0,0,wt-zrf,4
103,0,0,wt-zrf,4
104,0,0,wt-zrf,4
105,0,0,wt-zrf,4
106,0,0,wt-zrf,4
107,0,0,wt-zrf,4
108,0,0,wt-zrf,4
109,0,0,wt-zrf,4
110,0,0,wt-zrf,4
111,0,0,wt-zrf,4
112_1,0,0,wt-zrf,4
112_2,0,0,mt-zrf,4
113,0,0,wt-zrf,4
114,0,0,wt-zrf,4
115,0,0,wt-zrf,4
116,0,0,wt-zrf,4
117,0,0,wt-zrf,4
118,0,0,wt-zrf,4
119,0,0,wt-zrf,4
120,0,0,wt-zrf,4
121,0,0,wt-zrf,4
122,0,0,wt-zrf,4
123,0,0,wt-zrf,4
124,0,0,wt-zrf,4
125,0,0,wt-zrf,4
126,0,0,wt-zrf,4
127,0,0,wt-zrf,4
128,0,0,wt-zrf,4
129,0,0,wt-zrf,4
130,0,0,wt-zrf,4
131,0,0,wt-zrf,4
132,0,0,wt-zrf,4
133,0,0,wt-zrf,4
134,0,0,wt-zrf,4
135,0,0,wt-zrf,4
136,0,0,wt-zrf,4
137,0,0,wt-zrf,4
138,0,0,wt-zrf,4
139,0,0,wt-zrf,4
140,0,0,wt-zrf,4
141,0,0,wt-zrf,4
142,0,0,wt-zrf,4
143,0,0,wt-zrf,4
152,0,0,mt-zrf,4
172,0,0,mt-zrf,4
19,0,0,mt-zrf,4
2,0,0,mt-zrf,4
21,0,0,mt-zrf,4
24,0,0,mt-zrf,4
3,0,0,mt-zrf,4
317,0,0,mt-zrf,4
318,0,0,mt-zrf,4
319,0,0,mt-zrf,4
320,0,0,mt-zrf,4
321,0,0,mt-zrf,4
323,0,0,mt-zrf,4
324,0,0,mt-zrf,4
325,0,0,mt-zrf,4
326,0,0,mt-zrf,4
327,0,0,mt-zrf,4
328,0,0,mt-zrf,4
329,0,0,mt-zrf,4
330,0,0,mt-zrf,4
331,0,0,mt-zrf,4
332,0,0,mt-zrf,4
333,0,0,mt-zrf,4
334,0,0,mt-zrf,4
335,0,0,mt-zrf,4
336,0,0,mt-zrf,4
337,0,0,mt-zrf,4
338,0,0,mt-zrf,4
339,0,0,mt-zrf,4
340,0,0,mt-zrf,4
4,0,0,mt-zrf,4
5,0,0,mt-zrf,4
6,0,0,mt-zrf,4
1,0,0,mt-zrf,5
101,0,0,wt-zrf,5
102,0,0,wt-zrf,5
103,0,0,wt-zrf,5
104,0,0,wt-zrf,5
105,0,0,wt-zrf,5
106,0,0,wt-zrf,5
107,0,0,wt-zrf,5
108,0,0,wt-zrf,5
109,0,0,wt-zrf,5
110,0,0,wt-zrf,5
111,0,0,wt-zrf,5
112_1,0,0,wt-zrf,5
112_2,0,0,mt-zrf,5
113,0,0,wt-zrf,5
114,0,0,wt-zrf,5
115,0,0,wt-zrf,5
116,0,0,wt-zrf,5
117,0,0,wt-zrf,5
118,0,0,wt-zrf,5
119,0,0,wt-zrf,5
120,0,0,wt-zrf,5
121,0,0,wt-zrf,5
122,0,0,wt-zrf,5
123,0,0,wt-zrf,5
124,0,0,wt-zrf,5
125,0,0,wt-zrf,5
126,0,0,wt-zrf,5
127,0,0,wt-zrf,5
128,0,0,wt-zrf,5
129,0,0,wt-zrf,5
130,0,0,wt-zrf,5
131,0,0,wt-zrf,5
132,0,0,wt-zrf,5
133,0,0,wt-zrf,5
134,0,0,wt-zrf,5
135,0,0,wt-zrf,5
136,0,0,wt-zrf,5
137,0,0,wt-zrf,5
138,0,0,wt-zrf,5
139,0,0,wt-zrf,5
140,0,0,wt-zrf,5
141,0,0,wt-zrf,5
142,0,0,wt-zrf,5
143,0,0,wt-zrf,5
152,0,0,mt-zrf,5
172,0,0,mt-zrf,5
19,0,0,mt-zrf,5
2,0,0,mt-zrf,5
21,0,0,mt-zrf,5
24,0,0,mt-zrf,5
3,0,0,mt-zrf,5
317,0,0,mt-zrf,5
318,0,0,mt-zrf,5
319,0,0,mt-zrf,5
320,0,0,mt-zrf,5
321,0,0,mt-zrf,5
323,0,0,mt-zrf,5
324,0,0,mt-zrf,5
325,0,0,mt-zrf,5
326,0,0,mt-zrf,5
327,0,0,mt-zrf,5
328,0,0,mt-zrf,5
329,0,0,mt-zrf,5
330,0,0,mt-zrf,5
331,0,0,mt-zrf,5
332,0,0,mt-zrf,5
333,0,0,mt-zrf,5
334,0,0,mt-zrf,5
335,0,0,mt-zrf,5
336,0,0,mt-zrf,5
337,0,0,mt-zrf,5
338,0,0,mt-zrf,5
339,0,0,mt-zrf,5
340,0,0,mt-zrf,5
4,0,0,mt-zrf,5
5,0,0,mt-zrf,5
6,0,0,mt-zrf,5
1,0,0,mt-zrf,6
101,0,0,wt-zrf,6
102,0,0,wt-zrf,6
103,0,0,wt-zrf,6
104,0,0,wt-zrf,6
105,0,0,wt-zrf,6
106,0,0,wt-zrf,6
107,0,0,wt-zrf,6
108,0,0,wt-zrf,6
109,0,0,wt-zrf,6
110,0,0,wt-zrf,6
111,0,0,wt-zrf,6
112_1,0,0,wt-zrf,6
112_2,0,0,mt-zrf,6
113,0,0,wt-zrf,6
114,0,0,wt-zrf,6
115,0,0,wt-zrf,6
116,0,0,wt-zrf,6
117,0,0,wt-zrf,6
118,0,0,wt-zrf,6
119,0,0,wt-zrf,6
120,0,0,wt-zrf,6
121,0,0,wt-zrf,6
122,0,0,wt-zrf,6
123,0,0,wt-zrf,6
124,0,0,wt-zrf,6
125,0,0,wt-zrf,6
126,0,0,wt-zrf,6
127,0,0,wt-zrf,6
128,0,0,wt-zrf,6
129,0,0,wt-zrf,6
130,0,0,wt-zrf,6
131,0,0,wt-zrf,6
132,0,0,wt-zrf,6
133,0,0,wt-zrf,6
134,0,0,wt-zrf,6
135,0,0,wt-zrf,6
136,0,0,wt-zrf,6
137,0,0,wt-zrf,6
138,0,0,wt-zrf,6
139,0,0,wt-zrf,6
140,0,0,wt-zrf,6
141,0,0,wt-zrf,6
142,0,0,wt-zrf,6
143,0,0,wt-zrf,6
152,0,0,mt-zrf,6
172,0,0,mt-zrf,6
19,0,0,mt-zrf,6
2,0,0,mt-zrf,6
21,0,0,mt-zrf,6
24,0,0,mt-zrf,6
3,0,0,mt-zrf,6
317,0,0,mt-zrf,6
318,0,0,mt-zrf,6
319,0,0,mt-zrf,6
320,0,0,mt-zrf,6
321,0,0,mt-zrf,6
323,0,0,mt-zrf,6
324,0,0,mt-zrf,6
325,0,0,mt-zrf,6
326,0,0,mt-zrf,6
327,0,0,mt-zrf,6
328,0,0,mt-zrf,6
329,0,0,mt-zrf,6
330,0,0,mt-zrf,6
331,0,0,mt-zrf,6
332,0,0,mt-zrf,6
333,0,0,mt-zrf,6
334,0,0,mt-zrf,6
335,0,0,mt-zrf,6
336,0,0,mt-zrf,6
337,0,0,mt-zrf,6
338,0,0,mt-zrf,6
339,0,0,mt-zrf,6
340,0,0,mt-zrf,6
4,0,0,mt-zrf,6
5,0,0,mt-zrf,6
6,0,0,mt-zrf,6
1,0,0,mt-zrf,7
101,0,0,wt-zrf,7
102,0,0,wt-zrf,7
103,0,0,wt-zrf,7
104,0,0,wt-zrf,7
105,0,0,wt-zrf,7
106,0,0,wt-zrf,7
107,0,0,wt-zrf,7
108,0,0,wt-zrf,7
109,0,0,wt-zrf,7
110,0,0,wt-zrf,7
111,0,0,wt-zrf,7
112_1,0,0,wt-zrf,7
112_2,0,0,mt-zrf,7
113,0,0,wt-zrf,7
114,0,0,wt-zrf,7
115,0,0,wt-zrf,7
116,0,0,wt-zrf,7
117,0,0,wt-zrf,7
118,0,0,wt-zrf,7
119,0,0,wt-zrf,7
120,0,0,wt-zrf,7
121,0,0,wt-zrf,7
122,0,0,wt-zrf,7
123,0,0,wt-zrf,7
124,0,0,wt-zrf,7
125,0,0,wt-zrf,7
126,0,0,wt-zrf,7
127,0,0,wt-zrf,7
128,0,0,wt-zrf,7
129,0,0,wt-zrf,7
130,0,0,wt-zrf,7
131,0,0,wt-zrf,7
132,0,0,wt-zrf,7
133,0,0,wt-zrf,7
134,0,0,wt-zrf,7
135,0,0,wt-zrf,7
136,0,0,wt-zrf,7
137,0,0,wt-zrf,7
138,0,0,wt-zrf,7
139,0,0,wt-zrf,7
140,0,0,wt-zrf,7
141,0,0,wt-zrf,7
142,0,0,wt-zrf,7
143,0,0,wt-zrf,7
152,0,0,mt-zrf,7
172,0,0,mt-zrf,7
19,0,0,mt-zrf,7
2,0,0,mt-zrf,7
21,0,0,mt-zrf,7
24,0,0,mt-zrf,7
3,0,0,mt-zrf,7
317,0,0,mt-zrf,7
318,0,0,mt-zrf,7
319,0,0,mt-zrf,7
320,0,0,mt-zrf,7
321,0,0,mt-zrf,7
323,0,0,mt-zrf,7
324,0,0,mt-zrf,7
325,0,0,mt-zrf,7
326,0,0,mt-zrf,7
327,0,0,mt-zrf,7
328,0,0,mt-zrf,7
329,0,0,mt-zrf,7
330,0,0,mt-zrf,7
331,0,0,mt-zrf,7
332,0,0,mt-zrf,7
333,0,0,mt-zrf,7
334,0,0,mt-zrf,7
335,0,0,mt-zrf,7
336,0,0,mt-zrf,7
337,0,0,mt-zrf,7
338,0,0,mt-zrf,7
339,0,0,mt-zrf,7
340,0,0,mt-zrf,7
4,0,0,mt-zrf,7
5,0,0,mt-zrf,7
6,0,0,mt-zrf,7
1,0,0,mt-zrf,8
101,0,0,wt-zrf,8
102,0,0,wt-zrf,8
103,0,0,wt-zrf,8
104,0,0,wt-zrf,8
105,0,0,wt-zrf,8
106,0,0,wt-zrf,8
107,0,0,wt-zrf,8
108,0,0,wt-zrf,8
109,0,0,wt-zrf,8
110,0,0,wt-zrf,8
111,0,0,wt-zrf,8
112_1,0,0,wt-zrf,8
112_2,0,0,mt-zrf,8
113,0,0,wt-zrf,8
114,0,0,wt-zrf,8
115,0,0,wt-zrf,8
116,0,0,wt-zrf,8
117,0,0,wt-zrf,8
118,0,0,wt-zrf,8
119,0,0,wt-zrf,8
120,0,0,wt-zrf,8
121,0,0,wt-zrf,8
122,0,0,wt-zrf,8
123,0,0,wt-zrf,8
124,0,0,wt-zrf,8
125,0,0,wt-zrf,8
126,0,0,wt-zrf,8
127,0,0,wt-zrf,8
128,0,0,wt-zrf,8
129,0,0,wt-zrf,8
130,0,0,wt-zrf,8
131,0,0,wt-zrf,8
132,0,0,wt-zrf,8
133,0,0,wt-zrf,8
134,0,0,wt-zrf,8
135,0,0,wt-zrf,8
136,0,0,wt-zrf,8
137,0,0,wt-zrf,8
138,0,0,wt-zrf,8
139,0,0,wt-zrf,8
140,0,0,wt-zrf,8
141,0,0,wt-zrf,8
142,0,0,wt-zrf,8
143,0,0,wt-zrf,8
152,0,0,mt-zrf,8
172,0,0,mt-zrf,8
19,0,0,mt-zrf,8
2,0,0,mt-zrf,8
21,0,0,mt-zrf,8
24,0,0,mt-zrf,8
3,0,0,mt-zrf,8
317,0,0,mt-zrf,8
318,0,0,mt-zrf,8
319,0,0,mt-zrf,8
320,0,0,mt-zrf,8
321,0,0,mt-zrf,8
323,0,0,mt-zrf,8
324,0,0,mt-zrf,8
325,0,0,mt-zrf,8
326,0,0,mt-zrf,8
327,0,0,mt-zrf,8
328,0,0,mt-zrf,8
329,0,0,mt-zrf,8
330,0,0,mt-zrf,8
331,0,0,mt-zrf,8
332,0,0,mt-zrf,8
333,0,0,mt-zrf,8
334,0,0,mt-zrf,8
335,0,0,mt-zrf,8
336,0,0,mt-zrf,8
337,0,0,mt-zrf,8
338,0,0,mt-zrf,8
339,0,0,mt-zrf,8
340,0,0,mt-zrf,8
4,0,0,mt-zrf,8
5,0,0,mt-zrf,8
6,0,0,mt-zrf,8
1,0,0,mt-zrf,9
101,0,0,wt-zrf,9
102,0,0,wt-zrf,9
103,0,0,wt-zrf,9
104,0,0,wt-zrf,9
105,0,0,wt-zrf,9
106,0,0,wt-zrf,9
107,0,0,wt-zrf,9
108,0,0,wt-zrf,9
109,0,0,wt-zrf,9
110,0,0,wt-zrf,9
111,0,0,wt-zrf,9
112_1,0,0,wt-zrf,9
112_2,0,0,mt-zrf,9
113,0,0,wt-zrf,9
114,0,0,wt-zrf,9
115,0,0,wt-zrf,9
116,0,0,wt-zrf,9
117,0,0,wt-zrf,9
118,0,0,wt-zrf,9
119,0,0,wt-zrf,9
120,0,0,wt-zrf,9
121,0,0,wt-zrf,9
122,0,0,wt-zrf,9
123,0,0,wt-zrf,9
124,0,0,wt-zrf,9
125,0,0,wt-zrf,9
126,0,0,wt-zrf,9
127,0,0,wt-zrf,9
128,0,0,wt-zrf,9
129,0,0,wt-zrf,9
130,0,0,wt-zrf,9
131,0,0,wt-zrf,9
132,0,0,wt-zrf,9
133,0,0,wt-zrf,9
134,0,0,wt-zrf,9
135,0,0,wt-zrf,9
136,0,0,wt-zrf,9
137,0,0,wt-zrf,9
