sample_index,landmark_index,pred,mm,mw,ww,wm
330,1,0,0,35,43,0
330,2,0,0,35,43,0
330,3,0,0,35,43,0
330,4,1,35,0,43,0
330,5,1,35,0,43,0
330,6,1,35,0,43,0
330,7,0,0,35,43,0
330,8,0,0,35,43,0
330,9,1,35,0,43,0
330,10,1,35,0,43,0
330,11,1,34,1,41,2
330,12,1,35,0,43,0
330,13,1,34,1,43,0
330,14,1,34,1,38,5
330,15,1,34,1,43,0
330,16,0,0,35,43,0
330,17,1,34,1,38,5
330,18,1,34,1,40,3
330,19,1,31,4,28,15
330,20,1,32,3,25,18
330,21,1,32,3,39,4
330,22,1,31,4,43,0
330,23,1,33,2,43,0
330,24,1,34,1,42,1
330,25,1,29,6,32,11
330,26,1,29,6,35,8
330,27,1,26,9,38,5
330,28,1,26,9,38,5
330,29,1,26,9,37,6
330,30,1,24,11,35,8
330,31,1,26,9,42,1
330,32,1,31,4,30,13
330,33,1,26,9,36,7
330,34,0,26,9,39,4
330,35,0,26,9,40,3
330,36,0,20,15,38,5
330,37,1,27,8,36,7
330,38,0,19,16,42,1
330,39,1,20,15,38,5
330,40,1,24,11,40,3
330,41,1,28,7,35,8
330,42,0,24,11,39,4
330,43,1,29,6,23,20
330,44,0,10,25,40,3
330,45,0,21,14,35,8
330,46,0,26,9,33,10
330,47,1,24,11,36,7
330,48,1,28,7,35,8
330,49,0,23,12,38,5
330,50,0,24,11,36,7
330,51,1,25,10,35,8
330,52,0,20,15,36,7
330,53,0,26,9,39,4
330,54,0,27,8,26,17
330,55,0,17,18,39,4
330,56,1,28,7,36,7
330,57,0,21,14,38,5
330,58,1,28,7,34,9
330,59,1,20,15,37,6
330,60,0,20,15,40,3
330,61,0,24,11,35,8
330,62,0,26,9,36,7
330,63,0,22,13,32,11
330,64,0,25,10,32,11
330,65,1,26,9,40,3
330,66,0,26,9,33,10
330,67,0,17,18,36,7
330,68,0,14,21,36,7
330,69,0,23,12,39,4
330,70,0,20,15,37,6
330,71,0,25,10,33,10
330,72,0,19,16,36,7
330,73,1,22,13,37,6
330,74,0,15,20,42,1
330,75,0,14,21,42,1
330,76,0,14,21,34,9
330,77,0,26,9,33,10
330,78,0,23,12,35,8
330,79,0,20,15,37,6
330,80,0,23,12,38,5
330,81,1,20,15,39,4
330,82,1,18,17,38,5
330,83,0,16,19,39,4
330,84,0,21,14,35,8
330,85,0,29,6,26,17
330,86,0,20,15,36,7
330,87,0,25,10,35,8
330,88,1,28,7,34,9
330,89,1,20,15,40,3
330,90,1,22,13,35,8
330,91,1,24,11,34,9
330,92,1,21,14,35,8
330,93,1,21,14,36,7
330,94,0,26,9,35,8
330,95,0,25,10,36,7
330,96,0,22,13,39,4
330,97,0,25,10,37,6
330,98,0,17,18,42,1
330,99,1,23,12,36,7
330,100,1,21,14,40,3
330,101,0,22,13,38,5
330,102,0,27,8,35,8
330,103,0,21,14,36,7
330,104,1,31,4,34,9
330,105,0,32,3,38,5
330,106,0,26,9,36,7
330,107,0,18,17,39,4
330,108,0,17,18,41,2
330,109,1,27,8,36,7
330,110,0,17,18,42,1
330,111,1,25,10,37,6
330,112,1,28,7,38,5
330,113,1,31,4,34,9
330,114,1,29,6,36,7
330,115,0,29,6,39,4
330,116,1,28,7,37,6
330,117,1,25,10,39,4
330,118,1,21,14,39,4
330,119,1,28,7,27,16
330,120,1,32,3,30,13
330,121,1,32,3,37,6
330,122,1,33,2,33,10
330,123,1,30,5,36,7
330,124,1,30,5,39,4
330,125,1,28,7,35,8
330,126,1,27,8,34,9
330,127,1,25,10,40,3
330,128,1,34,1,23,20
330,129,1,34,1,43,0
330,130,1,34,1,40,3
330,131,1,33,2,27,16
330,132,1,33,2,33,10
330,133,1,32,3,41,2
330,134,1,33,2,22,21
330,135,1,34,1,37,6
330,136,1,34,1,43,0
330,137,1,35,0,42,1
330,138,1,35,0,43,0
330,139,1,35,0,43,0
330,140,1,35,0,42,1
330,141,1,35,0,43,0
330,142,1,35,0,43,0
330,143,1,35,0,43,0
330,144,1,35,0,42,1
330,145,0,0,35,43,0
330,146,0,0,35,43,0
330,147,1,35,0,43,0
330,148,1,35,0,43,0
330,149,1,35,0,43,0
330,150,1,35,0,43,0
330,151,1,35,0,43,0
330,152,1,35,0,43,0
