sample_index,landmark_index,pred,mm,mw,ww,wm
327,1,0,0,35,43,0
327,2,0,0,35,43,0
327,3,0,0,35,43,0
327,4,1,35,0,43,0
327,5,1,35,0,43,0
327,6,1,35,0,43,0
327,7,0,0,35,43,0
327,8,0,0,35,43,0
327,9,1,35,0,43,0
327,10,1,35,0,43,0
327,11,1,34,1,41,2
327,12,1,35,0,43,0
327,13,1,34,1,43,0
327,14,1,34,1,38,5
327,15,1,34,1,43,0
327,16,0,0,35,43,0
327,17,1,34,1,38,5
327,18,1,34,1,40,3
327,19,1,31,4,28,15
327,20,1,32,3,25,18
327,21,1,32,3,39,4
327,22,1,31,4,43,0
327,23,1,33,2,43,0
327,24,1,34,1,42,1
327,25,0,29,6,32,11
327,26,0,29,6,35,8
327,27,1,26,9,38,5
327,28,0,26,9,38,5
327,29,1,26,9,37,6
327,30,0,24,11,35,8
327,31,0,26,9,42,1
327,32,0,31,4,30,13
327,33,0,26,9,36,7
327,34,0,26,9,39,4
327,35,0,26,9,40,3
327,36,0,20,15,38,5
327,37,1,27,8,36,7
327,38,0,19,16,42,1
327,39,0,20,15,38,5
327,40,0,24,11,40,3
327,41,1,28,7,35,8
327,42,0,24,11,39,4
327,43,1,29,6,23,20
327,44,0,10,25,40,3
327,45,1,21,14,35,8
327,46,0,26,9,33,10
327,47,0,24,11,36,7
327,48,1,28,7,35,8
327,49,1,23,12,38,5
327,50,0,24,11,36,7
327,51,1,25,10,35,8
327,52,1,20,15,36,7
327,53,1,26,9,39,4
327,54,0,27,8,26,17
327,55,0,17,18,39,4
327,56,1,28,7,36,7
327,57,1,21,14,38,5
327,58,1,28,7,34,9
327,59,0,20,15,37,6
327,60,0,20,15,40,3
327,61,0,24,11,35,8
327,62,0,26,9,36,7
327,63,0,22,13,32,11
327,64,1,25,10,32,11
327,65,0,26,9,40,3
327,66,1,26,9,33,10
327,67,0,17,18,36,7
327,68,0,14,21,36,7
327,69,0,23,12,39,4
327,70,0,20,15,37,6
327,71,0,25,10,33,10
327,72,0,19,16,36,7
327,73,0,22,13,37,6
327,74,0,15,20,42,1
327,75,0,14,21,42,1
327,76,0,14,21,34,9
327,77,1,26,9,33,10
327,78,0,23,12,35,8
327,79,0,20,15,37,6
327,80,0,23,12,38,5
327,81,0,20,15,39,4
327,82,0,18,17,38,5
327,83,0,16,19,39,4
327,84,0,21,14,35,8
327,85,1,29,6,26,17
327,86,0,20,15,36,7
327,87,0,25,10,35,8
327,88,1,28,7,34,9
327,89,0,20,15,40,3
327,90,0,22,13,35,8
327,91,1,24,11,34,9
327,92,1,21,14,35,8
327,93,1,21,14,36,7
327,94,1,26,9,35,8
327,95,1,25,10,36,7
327,96,1,22,13,39,4
327,97,1,25,10,37,6
327,98,0,17,18,42,1
327,99,1,23,12,36,7
327,100,1,21,14,40,3
327,101,1,22,13,38,5
327,102,1,27,8,35,8
327,103,0,21,14,36,7
327,104,1,31,4,34,9
327,105,1,32,3,38,5
327,106,0,26,9,36,7
327,107,0,18,17,39,4
327,108,1,17,18,41,2
327,109,1,27,8,36,7
327,110,0,17,18,42,1
327,111,0,25,10,37,6
327,112,1,28,7,38,5
327,113,1,31,4,34,9
327,114,0,29,6,36,7
327,115,0,29,6,39,4
327,116,0,28,7,37,6
327,117,0,25,10,39,4
327,118,0,21,14,39,4
327,119,1,28,7,27,16
327,120,1,32,3,30,13
327,121,1,32,3,37,6
327,122,1,33,2,33,10
327,123,1,30,5,36,7
327,124,1,30,5,39,4
327,125,1,28,7,35,8
327,126,1,27,8,34,9
327,127,1,25,10,40,3
327,128,1,34,1,23,20
327,129,1,34,1,43,0
327,130,1,34,1,40,3
327,131,1,33,2,27,16
327,132,1,33,2,33,10
327,133,1,32,3,41,2
327,134,1,33,2,22,21
327,135,1,34,1,37,6
327,136,1,34,1,43,0
327,137,1,35,0,42,1
327,138,1,35,0,43,0
327,139,1,35,0,43,0
327,140,1,35,0,42,1
327,141,1,35,0,43,0
327,142,1,35,0,43,0
327,143,1,35,0,43,0
327,144,1,35,0,42,1
327,145,0,0,35,43,0
327,146,0,0,35,43,0
327,147,1,35,0,43,0
327,148,1,35,0,43,0
327,149,1,35,0,43,0
327,150,1,35,0,43,0
327,151,1,35,0,43,0
327,152,1,35,0,43,0
