sample_index,landmark_index,pred,mm,mw,ww,wm
143,1,0,0,35,43,0
143,2,0,0,35,43,0
143,3,0,0,35,43,0
143,4,0,35,0,43,0
143,5,0,35,0,43,0
143,6,0,35,0,43,0
143,7,0,0,35,43,0
143,8,0,0,35,43,0
143,9,0,35,0,43,0
143,10,0,35,0,43,0
143,11,0,34,1,41,2
143,12,0,35,0,43,0
143,13,0,34,1,43,0
143,14,0,34,1,38,5
143,15,0,34,1,43,0
143,16,0,0,35,43,0
143,17,0,34,1,38,5
143,18,0,34,1,40,3
143,19,0,31,4,28,15
143,20,1,32,3,25,18
143,21,0,32,3,39,4
143,22,0,31,4,43,0
143,23,0,33,2,43,0
143,24,0,34,1,42,1
143,25,0,29,6,32,11
143,26,0,29,6,35,8
143,27,0,26,9,38,5
143,28,0,26,9,38,5
143,29,0,26,9,37,6
143,30,1,24,11,35,8
143,31,0,26,9,42,1
143,32,1,31,4,30,13
143,33,0,26,9,36,7
143,34,0,26,9,39,4
143,35,0,26,9,40,3
143,36,0,20,15,38,5
143,37,0,27,8,36,7
143,38,0,19,16,42,1
143,39,0,20,15,38,5
143,40,0,24,11,40,3
143,41,0,28,7,35,8
143,42,0,24,11,39,4
143,43,1,29,6,23,20
143,44,0,10,25,40,3
143,45,0,21,14,35,8
143,46,0,26,9,33,10
143,47,1,24,11,36,7
143,48,0,28,7,35,8
143,49,0,23,12,38,5
143,50,1,24,11,36,7
143,51,1,25,10,35,8
143,52,0,20,15,36,7
143,53,0,26,9,39,4
143,54,0,27,8,26,17
143,55,0,17,18,39,4
143,56,0,28,7,36,7
143,57,1,21,14,38,5
143,58,1,28,7,34,9
143,59,1,20,15,37,6
143,60,1,20,15,40,3
143,61,0,24,11,35,8
143,62,0,26,9,36,7
143,63,0,22,13,32,11
143,64,0,25,10,32,11
143,65,0,26,9,40,3
143,66,1,26,9,33,10
143,67,1,17,18,36,7
143,68,0,14,21,36,7
143,69,0,23,12,39,4
143,70,0,20,15,37,6
143,71,0,25,10,33,10
143,72,0,19,16,36,7
143,73,1,22,13,37,6
143,74,0,15,20,42,1
143,75,0,14,21,42,1
143,76,0,14,21,34,9
143,77,0,26,9,33,10
143,78,0,23,12,35,8
143,79,0,20,15,37,6
143,80,0,23,12,38,5
143,81,1,20,15,39,4
143,82,1,18,17,38,5
143,83,1,16,19,39,4
143,84,1,21,14,35,8
143,85,0,29,6,26,17
143,86,1,20,15,36,7
143,87,0,25,10,35,8
143,88,0,28,7,34,9
143,89,0,20,15,40,3
143,90,1,22,13,35,8
143,91,1,24,11,34,9
143,92,1,21,14,35,8
143,93,0,21,14,36,7
143,94,1,26,9,35,8
143,95,0,25,10,36,7
143,96,0,22,13,39,4
143,97,0,25,10,37,6
143,98,0,17,18,42,1
143,99,1,23,12,36,7
143,100,1,21,14,40,3
143,101,1,22,13,38,5
143,102,1,27,8,35,8
143,103,0,21,14,36,7
143,104,0,31,4,34,9
143,105,0,32,3,38,5
143,106,0,26,9,36,7
143,107,1,18,17,39,4
143,108,0,17,18,41,2
143,109,0,27,8,36,7
143,110,0,17,18,42,1
143,111,1,25,10,37,6
143,112,0,28,7,38,5
143,113,0,31,4,34,9
143,114,0,29,6,36,7
143,115,0,29,6,39,4
143,116,0,28,7,37,6
143,117,0,25,10,39,4
143,118,0,21,14,39,4
143,119,1,28,7,27,16
143,120,1,32,3,30,13
143,121,0,32,3,37,6
143,122,0,33,2,33,10
143,123,0,30,5,36,7
143,124,0,30,5,39,4
143,125,0,28,7,35,8
143,126,1,27,8,34,9
143,127,0,25,10,40,3
143,128,0,34,1,23,20
143,129,0,34,1,43,0
143,130,0,34,1,40,3
143,131,0,33,2,27,16
143,132,0,33,2,33,10
143,133,0,32,3,41,2
143,134,1,33,2,22,21
143,135,0,34,1,37,6
143,136,0,34,1,43,0
143,137,0,35,0,42,1
143,138,0,35,0,43,0
143,139,0,35,0,43,0
143,140,0,35,0,42,1
143,141,0,35,0,43,0
143,142,0,35,0,43,0
143,143,0,35,0,43,0
143,144,0,35,0,42,1
143,145,0,0,35,43,0
143,146,0,0,35,43,0
143,147,0,35,0,43,0
143,148,0,35,0,43,0
143,149,0,35,0,43,0
143,150,0,35,0,43,0
143,151,0,35,0,43,0
143,152,0,35,0,43,0
