sample_index,landmark_index,pred,mm,mw,ww,wm
112_2,1,0,0,35,43,0
112_2,2,0,0,35,43,0
112_2,3,0,0,35,43,0
112_2,4,1,35,0,43,0
112_2,5,1,35,0,43,0
112_2,6,1,35,0,43,0
112_2,7,0,0,35,43,0
112_2,8,0,0,35,43,0
112_2,9,1,35,0,43,0
112_2,10,1,35,0,43,0
112_2,11,1,34,1,41,2
112_2,12,1,35,0,43,0
112_2,13,1,34,1,43,0
112_2,14,1,34,1,38,5
112_2,15,1,34,1,43,0
112_2,16,0,0,35,43,0
112_2,17,1,34,1,38,5
112_2,18,1,34,1,40,3
112_2,19,1,31,4,28,15
112_2,20,1,32,3,25,18
112_2,21,1,32,3,39,4
112_2,22,1,31,4,43,0
112_2,23,1,33,2,43,0
112_2,24,1,34,1,42,1
112_2,25,1,29,6,32,11
112_2,26,0,29,6,35,8
112_2,27,1,26,9,38,5
112_2,28,0,26,9,38,5
112_2,29,1,26,9,37,6
112_2,30,1,24,11,35,8
112_2,31,0,26,9,42,1
112_2,32,1,31,4,30,13
112_2,33,0,26,9,36,7
112_2,34,1,26,9,39,4
112_2,35,1,26,9,40,3
112_2,36,0,20,15,38,5
112_2,37,1,27,8,36,7
112_2,38,1,19,16,42,1
112_2,39,0,20,15,38,5
112_2,40,0,24,11,40,3
112_2,41,1,28,7,35,8
112_2,42,0,24,11,39,4
112_2,43,1,29,6,23,20
112_2,44,0,10,25,40,3
112_2,45,1,21,14,35,8
112_2,46,1,26,9,33,10
112_2,47,1,24,11,36,7
112_2,48,1,28,7,35,8
112_2,49,1,23,12,38,5
112_2,50,1,24,11,36,7
112_2,51,1,25,10,35,8
112_2,52,1,20,15,36,7
112_2,53,1,26,9,39,4
112_2,54,1,27,8,26,17
112_2,55,0,17,18,39,4
112_2,56,1,28,7,36,7
112_2,57,1,21,14,38,5
112_2,58,1,28,7,34,9
112_2,59,1,20,15,37,6
112_2,60,1,20,15,40,3
112_2,61,1,24,11,35,8
112_2,62,1,26,9,36,7
112_2,63,1,22,13,32,11
112_2,64,1,25,10,32,11
112_2,65,1,26,9,40,3
112_2,66,1,26,9,33,10
112_2,67,1,17,18,36,7
112_2,68,1,14,21,36,7
112_2,69,1,23,12,39,4
112_2,70,1,20,15,37,6
112_2,71,1,25,10,33,10
112_2,72,1,19,16,36,7
112_2,73,1,22,13,37,6
112_2,74,1,15,20,42,1
112_2,75,1,14,21,42,1
112_2,76,1,14,21,34,9
112_2,77,1,26,9,33,10
112_2,78,1,23,12,35,8
112_2,79,1,20,15,37,6
112_2,80,1,23,12,38,5
112_2,81,1,20,15,39,4
112_2,82,1,18,17,38,5
112_2,83,1,16,19,39,4
112_2,84,1,21,14,35,8
112_2,85,1,29,6,26,17
112_2,86,1,20,15,36,7
112_2,87,1,25,10,35,8
112_2,88,1,28,7,34,9
112_2,89,1,20,15,40,3
112_2,90,1,22,13,35,8
112_2,91,1,24,11,34,9
112_2,92,1,21,14,35,8
112_2,93,1,21,14,36,7
112_2,94,1,26,9,35,8
112_2,95,1,25,10,36,7
112_2,96,1,22,13,39,4
112_2,97,1,25,10,37,6
112_2,98,1,17,18,42,1
112_2,99,1,23,12,36,7
112_2,100,1,21,14,40,3
112_2,101,1,22,13,38,5
112_2,102,1,27,8,35,8
112_2,103,1,21,14,36,7
112_2,104,1,31,4,34,9
112_2,105,1,32,3,38,5
112_2,106,1,26,9,36,7
112_2,107,1,18,17,39,4
112_2,108,1,17,18,41,2
112_2,109,1,27,8,36,7
112_2,110,1,17,18,42,1
112_2,111,1,25,10,37,6
112_2,112,1,28,7,38,5
112_2,113,1,31,4,34,9
112_2,114,1,29,6,36,7
112_2,115,1,29,6,39,4
112_2,116,1,28,7,37,6
112_2,117,1,25,10,39,4
112_2,118,1,21,14,39,4
112_2,119,1,28,7,27,16
112_2,120,1,32,3,30,13
112_2,121,1,32,3,37,6
112_2,122,1,33,2,33,10
112_2,123,1,30,5,36,7
112_2,124,1,30,5,39,4
112_2,125,1,28,7,35,8
112_2,126,1,27,8,34,9
112_2,127,1,25,10,40,3
112_2,128,1,34,1,23,20
112_2,129,1,34,1,43,0
112_2,130,1,34,1,40,3
112_2,131,1,33,2,27,16
112_2,132,1,33,2,33,10
112_2,133,1,32,3,41,2
112_2,134,1,33,2,22,21
112_2,135,1,34,1,37,6
112_2,136,1,34,1,43,0
112_2,137,1,35,0,42,1
112_2,138,1,35,0,43,0
112_2,139,1,35,0,43,0
112_2,140,1,35,0,42,1
112_2,141,1,35,0,43,0
112_2,142,1,35,0,43,0
112_2,143,1,35,0,43,0
112_2,144,1,35,0,42,1
112_2,145,0,0,35,43,0
112_2,146,0,0,35,43,0
112_2,147,1,35,0,43,0
112_2,148,1,35,0,43,0
112_2,149,1,35,0,43,0
112_2,150,1,35,0,43,0
112_2,151,1,35,0,43,0
112_2,152,1,35,0,43,0
