,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
101,112_2,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
102,112_1,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
103,112_2,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
104,113,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
105,114,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
106,115,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
107,116,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
108,117,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
109,118,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
110,119,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
111,120,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
112,121,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
113,122,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
114,123,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
115,124,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
116,125,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
117,126,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
118,127,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
119,128,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
120,129,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
121,130,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
122,131,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
123,132,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
124,133,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
125,134,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
126,135,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
127,136,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
128,137,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
129,138,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
130,139,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
131,140,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
132,141,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
133,142,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
134,143,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,wt-zrf,-90.51/-2.36,2
135,152,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
136,172,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
137,317,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
138,318,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
139,319,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
140,320,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
141,321,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
142,323,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
143,324,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
144,325,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
145,326,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
146,327,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
147,328,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
148,329,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
149,330,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
150,331,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
151,332,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
152,333,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
153,334,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
154,335,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
155,336,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
156,337,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
157,338,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
158,339,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
159,340,-90.51,-80.99,-2.36,-1.57,50,0.0,0.0,mt-zrf,-90.51/-2.36,2
160,1,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
161,2,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
162,3,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
163,4,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
164,5,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
165,6,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
166,19,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
167,21,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
168,24,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
169,101,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
170,102,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
171,103,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
172,104,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
173,105,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
174,106,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
175,107,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
176,108,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
177,109,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
178,110,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
179,111,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
180,112_1,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
181,112_2,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
182,112_1,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
183,112_2,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,mt-zrf,-90.51/-1.57,3
184,113,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
185,114,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
186,115,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
187,116,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
188,117,-90.51,-80.99,-1.57,-0.79,50,0.0,0.0,wt-zrf,-90.51/-1.57,3
