,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
68,69,1,-80.99,-71.46,0.0,0.79,50,0,3.861445527,mt-at
69,70,1,-80.99,-71.46,0.79,1.57,50,0,6.704600514,mt-at
70,71,1,-80.99,-71.46,1.57,2.36,50,0,3.278631636,mt-at
71,72,1,-80.99,-71.46,2.36,3.14,50,0,2.035549734,mt-at
72,73,1,-90.51,-80.99,-0.79,0.0,50,0,4.44787695,mt-at
73,74,1,-90.51,-80.99,-1.57,-0.79,50,0,3.7938538389999996,mt-at
74,75,1,-90.51,-80.99,-2.36,-1.57,50,0,3.0582323060000003,mt-at
75,76,1,-90.51,-80.99,-3.14,-2.36,50,0,3.0582323060000003,mt-at
76,77,1,-90.51,-80.99,0.0,0.79,50,0,5.4847144310000004,mt-at
77,78,1,-90.51,-80.99,0.79,1.57,50,0,5.353957882,mt-at
78,79,1,-90.51,-80.99,1.57,2.36,50,0,1.67586599,mt-at
79,80,1,-90.51,-80.99,2.36,3.14,50,0,1.67586599,mt-at
80,81,1,14.29,23.82,-0.79,0.0,50,1,6.581340253,mt-at
81,82,1,14.29,23.82,-1.57,-0.79,50,0,6.457617531,mt-at
82,83,1,14.29,23.82,-2.36,-1.57,50,0,5.1055770869999995,mt-at
83,84,1,14.29,23.82,-3.14,-2.36,50,473,2.556801186,mt-at
84,85,1,14.29,23.82,0.0,0.79,50,0,8.125704819,mt-at
85,86,1,14.29,23.82,0.79,1.57,50,6,4.214903124,mt-at
86,87,1,14.29,23.82,1.57,2.36,50,434,2.447861202,mt-at
87,88,1,14.29,23.82,2.36,3.14,50,805,2.219703257,mt-at
88,89,1,23.82,33.35,-0.79,0.0,50,136,0.905514507,mt-at
89,90,1,23.82,33.35,-1.57,-0.79,50,195,1.307843521,mt-at
90,91,1,23.82,33.35,-2.36,-1.57,50,277,1.263067857,mt-at
91,92,1,23.82,33.35,-3.14,-2.36,50,832,2.135724361,mt-at
92,93,1,23.82,33.35,0.0,0.79,50,344,1.286580201,mt-at
93,94,1,23.82,33.35,0.79,1.57,50,658,1.4762583880000002,mt-at
94,95,1,23.82,33.35,1.57,2.36,50,796,1.8627640019999998,mt-at
95,96,1,23.82,33.35,2.36,3.14,50,1697,2.079913725,mt-at
96,97,1,33.35,42.88,-0.79,0.0,50,637,2.139709542,mt-at
97,98,1,33.35,42.88,-1.57,-0.79,50,144,1.146098466,mt-at
98,99,1,33.35,42.88,-2.36,-1.57,50,17,1.084741111,mt-at
99,100,1,33.35,42.88,-3.14,-2.36,50,0,3.378123529,mt-at
100,101,1,33.35,42.88,0.0,0.79,50,631,2.442256383,mt-at
101,102,1,33.35,42.88,0.79,1.57,50,55,1.6944642769999998,mt-at
102,103,1,33.35,42.88,1.57,2.36,50,1,0.665255103,mt-at
103,104,1,33.35,42.88,2.36,3.14,50,1,0.5675039620000001,mt-at
104,105,1,4.76,14.29,-0.79,0.0,50,0,7.820221582,mt-at
105,106,1,4.76,14.29,-1.57,-0.79,50,9,3.358519732,mt-at
106,107,1,4.76,14.29,-2.36,-1.57,50,1,1.302859204,mt-at
107,108,1,4.76,14.29,-3.14,-2.36,50,0,4.571717023,mt-at
108,109,1,4.76,14.29,0.0,0.79,50,0,10.55365441,mt-at
109,110,1,4.76,14.29,0.79,1.57,50,0,7.028159639,mt-at
110,111,1,4.76,14.29,1.57,2.36,50,1,19.51920735,mt-at
111,112,1,4.76,14.29,2.36,3.14,50,1,10.11216505,mt-at
112,113,1,42.88,52.4,-0.79,0.0,50,217,10.66391786,mt-at
113,114,1,42.88,52.4,-1.57,-0.79,50,0,4.773945701000001,mt-at
114,115,1,42.88,52.4,-2.36,-1.57,50,0,4.130236,mt-at
115,116,1,42.88,52.4,-3.14,-2.36,50,0,2.7054716560000003,mt-at
116,117,1,42.88,52.4,0.0,0.79,50,49,1.989914676,mt-at
117,118,1,42.88,52.4,0.79,1.57,50,12,1.356347331,mt-at
118,119,1,42.88,52.4,1.57,2.36,50,16,0.9305290909999999,mt-at
119,120,1,42.88,52.4,2.36,3.14,50,1,0.6983620209999999,mt-at
120,121,1,52.4,61.93,-0.79,0.0,50,0,3.834412511,mt-at
121,122,1,52.4,61.93,-1.57,-0.79,50,0,4.733756025,mt-at
122,123,1,52.4,61.93,-2.36,-1.57,50,0,3.601457504,mt-at
123,124,1,52.4,61.93,-3.14,-2.36,50,0,2.163766678,mt-at
124,125,1,52.4,61.93,0.0,0.79,50,0,3.8813152289999997,mt-at
125,126,1,52.4,61.93,0.79,1.57,50,0,5.80427286,mt-at
