,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
22,23,1,-33.35,-23.82,1.57,2.36,50,2973,3.2325313419999997,mt-zrf
23,24,1,-33.35,-23.82,2.36,3.14,50,2199,2.7079394989999996,mt-zrf
24,25,1,-4.76,4.76,-0.79,0.0,50,686,2.852987843,mt-zrf
25,26,1,-4.76,4.76,-1.57,-0.79,50,81,0.7439877509999999,mt-zrf
26,27,1,-4.76,4.76,-2.36,-1.57,50,66,0.654778379,mt-zrf
27,28,1,-4.76,4.76,-3.14,-2.36,50,83,0.751233754,mt-zrf
28,29,1,-4.76,4.76,0.0,0.79,50,1066,3.4083164310000003,mt-zrf
29,30,1,-4.76,4.76,0.79,1.57,50,681,2.44861779,mt-zrf
30,31,1,-4.76,4.76,1.57,2.36,50,1145,16.13035764,mt-zrf
31,32,1,-4.76,4.76,2.36,3.14,50,443,14.56122355,mt-zrf
32,33,1,-42.88,-33.35,-0.79,0.0,50,1412,2.943459273,mt-zrf
33,34,1,-42.88,-33.35,-1.57,-0.79,50,7257,5.752580973,mt-zrf
34,35,1,-42.88,-33.35,-2.36,-1.57,50,4507,3.542183343,mt-zrf
35,36,1,-42.88,-33.35,-3.14,-2.36,50,3450,2.82091205,mt-zrf
36,37,1,-42.88,-33.35,0.0,0.79,50,282,3.1788615719999997,mt-zrf
37,38,1,-42.88,-33.35,0.79,1.57,50,778,3.924322365,mt-zrf
38,39,1,-42.88,-33.35,1.57,2.36,50,3154,3.6534757110000005,mt-zrf
39,40,1,-42.88,-33.35,2.36,3.14,50,1950,2.463814418,mt-zrf
40,41,1,-52.4,-42.88,-0.79,0.0,50,1853,3.5068552619999998,mt-zrf
41,42,1,-52.4,-42.88,-1.57,-0.79,50,11140,5.641640982,mt-zrf
42,43,1,-52.4,-42.88,-2.36,-1.57,50,3347,2.745601492,mt-zrf
43,44,1,-52.4,-42.88,-3.14,-2.36,50,1742,2.376645361,mt-zrf
44,45,1,-52.4,-42.88,0.0,0.79,50,206,0.993933065,mt-zrf
45,46,1,-52.4,-42.88,0.79,1.57,50,585,1.496570631,mt-zrf
46,47,1,-52.4,-42.88,1.57,2.36,50,1751,2.792389787,mt-zrf
47,48,1,-52.4,-42.88,2.36,3.14,50,1019,1.7788832769999998,mt-zrf
48,49,1,-61.93,-52.4,-0.79,0.0,50,0,6.549047721804878,mt-zrf
