"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"70",1,"-80.99","-71.46","0.79","1.57","50","0",NA,"mt-at"
"71",1,"-80.99","-71.46","1.57","2.36","50","0",NA,"mt-at"
"72",1,"-80.99","-71.46","2.36","3.14","50","0",NA,"mt-at"
"73",1,"-90.51","-80.99","-0.79","0.0","50","0",NA,"mt-at"
"74",1,"-90.51","-80.99","-1.57","-0.79","50","0",NA,"mt-at"
"75",1,"-90.51","-80.99","-2.36","-1.57","50","0",NA,"mt-at"
"76",1,"-90.51","-80.99","-3.14","-2.36","50","0",NA,"mt-at"
"77",1,"-90.51","-80.99","0.0","0.79","50","0",NA,"mt-at"
"78",1,"-90.51","-80.99","0.79","1.57","50","0",NA,"mt-at"
"79",1,"-90.51","-80.99","1.57","2.36","50","0",NA,"mt-at"
"80",1,"-90.51","-80.99","2.36","3.14","50","0",NA,"mt-at"
"81",1,"14.29","23.82","-0.79","0.0","50","1","6.581340253","mt-at"
"82",1,"14.29","23.82","-1.57","-0.79","50","0",NA,"mt-at"
"83",1,"14.29","23.82","-2.36","-1.57","50","0",NA,"mt-at"
"84",1,"14.29","23.82","-3.14","-2.36","50","473","2.556801186","mt-at"
"85",1,"14.29","23.82","0.0","0.79","50","0",NA,"mt-at"
"86",1,"14.29","23.82","0.79","1.57","50","6","4.214903124","mt-at"
"87",1,"14.29","23.82","1.57","2.36","50","434","2.447861202","mt-at"
"88",1,"14.29","23.82","2.36","3.14","50","805","2.219703257","mt-at"
"89",1,"23.82","33.35","-0.79","0.0","50","136","0.905514507","mt-at"
"90",1,"23.82","33.35","-1.57","-0.79","50","195","1.307843521","mt-at"
"91",1,"23.82","33.35","-2.36","-1.57","50","277","1.263067857","mt-at"
"92",1,"23.82","33.35","-3.14","-2.36","50","832","2.135724361","mt-at"
"93",1,"23.82","33.35","0.0","0.79","50","344","1.286580201","mt-at"
"94",1,"23.82","33.35","0.79","1.57","50","658","1.476258388","mt-at"
"95",1,"23.82","33.35","1.57","2.36","50","796","1.862764002","mt-at"
"96",1,"23.82","33.35","2.36","3.14","50","1697","2.079913725","mt-at"
"97",1,"33.35","42.88","-0.79","0.0","50","637","2.139709542","mt-at"
"98",1,"33.35","42.88","-1.57","-0.79","50","144","1.146098466","mt-at"
"99",1,"33.35","42.88","-2.36","-1.57","50","17","1.084741111","mt-at"
"100",1,"33.35","42.88","-3.14","-2.36","50","0",NA,"mt-at"
"101",1,"33.35","42.88","0.0","0.79","50","631","2.442256383","mt-at"
"102",1,"33.35","42.88","0.79","1.57","50","55","1.694464277","mt-at"
"103",1,"33.35","42.88","1.57","2.36","50","1","0.665255103","mt-at"
"104",1,"33.35","42.88","2.36","3.14","50","1","0.567503962","mt-at"
"105",1,"4.76","14.29","-0.79","0.0","50","0","20.10064328","mt-at"
"106",1,"4.76","14.29","-1.57","-0.79","50","9","3.358519732","mt-at"
"107",1,"4.76","14.29","-2.36","-1.57","50","1","1.302859204","mt-at"
"108",2,"-14.29","-4.76","-0.79","0.0","50","0",NA,"mt-at"
"109",2,"-14.29","-4.76","-1.57","-0.79","50","26","3.899580562","mt-at"
"110",2,"-14.29","-4.76","-2.36","-1.57","50","29","5.231950629","mt-at"
"111",2,"-14.29","-4.76","-3.14","-2.36","50","0",NA,"mt-at"
"112",2,"-14.29","-4.76","0.0","0.79","50","0",NA,"mt-at"
"113",2,"-14.29","-4.76","0.79","1.57","50","14","11.05239046","mt-at"
"114",2,"-14.29","-4.76","1.57","2.36","50","1","16.80592373","mt-at"
"115",2,"-14.29","-4.76","2.36","3.14","50","3","19.53192844","mt-at"
"116",2,"-23.82","-14.29","-0.79","0.0","50","117","1.222471699","mt-at"
"117",2,"-23.82","-14.29","-1.57","-0.79","50","277","1.835648898","mt-at"
"118",2,"-23.82","-14.29","-2.36","-1.57","50","989","3.87342462","mt-at"
"119",2,"-23.82","-14.29","-3.14","-2.36","50","237","1.321193522","mt-at"
"120",2,"-23.82","-14.29","0.0","0.79","50","280","10.41245522","mt-at"
"121",2,"-23.82","-14.29","0.79","1.57","50","216","1.634199404","mt-at"
"122",2,"-23.82","-14.29","1.57","2.36","50","108","0.951753602","mt-at"
"123",2,"-23.82","-14.29","2.36","3.14","50","319","10.54830625","mt-at"
"124",2,"-33.35","-23.82","-0.79","0.0","50","481","1.68136979","mt-at"
"125",2,"-33.35","-23.82","-1.57","-0.79","50","362","1.463384298","mt-at"
"126",2,"-33.35","-23.82","-2.36","-1.57","50","593","1.909375419","mt-at"
"127",2,"-33.35","-23.82","-3.14","-2.36","50","515","2.684442834","mt-at"
"128",2,"-33.35","-23.82","0.0","0.79","50","1269","3.07574457","mt-at"
"129",2,"-33.35","-23.82","0.79","1.57","50","386","1.612944777","mt-at"
"130",2,"-33.35","-23.82","1.57","2.36","50","67","0.58506271","mt-at"
"131",2,"-33.35","-23.82","2.36","3.14","50","530","4.718855052","mt-at"
"132",2,"-4.76","4.76","-0.79","0.0","50","0",NA,"mt-at"
"133",2,"-4.76","4.76","-1.57","-0.79","50","0",NA,"mt-at"
"134",2,"-4.76","4.76","-2.36","-1.57","50","0",NA,"mt-at"
"135",2,"-4.76","4.76","-3.14","-2.36","50","1","4.729350834","mt-at"
"136",2,"-4.76","4.76","0.0","0.79","50","0",NA,"mt-at"
"137",2,"-4.76","4.76","0.79","1.57","50","0",NA,"mt-at"
"138",2,"-4.76","4.76","1.57","2.36","50","0",NA,"mt-at"
"139",2,"-4.76","4.76","2.36","3.14","50","0",NA,"mt-at"
"140",2,"-42.88","-33.35","-0.79","0.0","50","694","6.093145171","mt-at"
"141",2,"-42.88","-33.35","-1.57","-0.79","50","928","4.085075654","mt-at"
"142",2,"-42.88","-33.35","-2.36","-1.57","50","2","4.470822943","mt-at"
"143",2,"-42.88","-33.35","-3.14","-2.36","50","401","4.636958172","mt-at"
"144",2,"-42.88","-33.35","0.0","0.79","50","328","4.433220339","mt-at"
"145",2,"-42.88","-33.35","0.79","1.57","50","5","2.995314293","mt-at"
"146",2,"-42.88","-33.35","1.57","2.36","50","335","3.871614292","mt-at"
"147",2,"-42.88","-33.35","2.36","3.14","50","870","3.777851679","mt-at"
"148",2,"-52.4","-42.88","-0.79","0.0","50","1415","2.900341725","mt-at"
"149",2,"-52.4","-42.88","-1.57","-0.79","50","1104","3.367731713","mt-at"
"150",2,"-52.4","-42.88","-2.36","-1.57","50","186","1.84103739","mt-at"
"151",2,"-52.4","-42.88","-3.14","-2.36","50","318","2.258916314","mt-at"
"152",2,"-52.4","-42.88","0.0","0.79","50","402","1.943805112","mt-at"
"153",2,"-52.4","-42.88","0.79","1.57","50","431","2.955036751","mt-at"
"154",2,"-52.4","-42.88","1.57","2.36","50","1103","2.288736605","mt-at"
"155",2,"-52.4","-42.88","2.36","3.14","50","989","2.034545627","mt-at"
"156",2,"-61.93","-52.4","-0.79","0.0","50","24","1.330000437","mt-at"
"157",2,"-61.93","-52.4","-1.57","-0.79","50","0","0.288374001","mt-at"
"158",2,"-61.93","-52.4","-2.36","-1.57","50","0",NA,"mt-at"
"159",2,"-61.93","-52.4","-3.14","-2.36","50","32","1.61343386","mt-at"
"160",2,"-61.93","-52.4","0.0","0.79","50","93","1.398566451","mt-at"
"161",2,"-61.93","-52.4","0.79","1.57","50","86","2.227113492","mt-at"
"162",2,"-61.93","-52.4","1.57","2.36","50","789","2.651095489","mt-at"
"163",2,"-61.93","-52.4","2.36","3.14","50","359","2.219377835","mt-at"
"164",2,"-71.46","-61.93","-0.79","0.0","50","0",NA,"mt-at"
"165",2,"-71.46","-61.93","-1.57","-0.79","50","0",NA,"mt-at"
"166",2,"-71.46","-61.93","-2.36","-1.57","50","0",NA,"mt-at"
"167",2,"-71.46","-61.93","-3.14","-2.36","50","0",NA,"mt-at"
"168",2,"-71.46","-61.93","0.0","0.79","50","0",NA,"mt-at"
"169",2,"-71.46","-61.93","0.79","1.57","50","0",NA,"mt-at"
"170",2,"-71.46","-61.93","1.57","2.36","50","0",NA,"mt-at"
"171",2,"-71.46","-61.93","2.36","3.14","50","0",NA,"mt-at"
"172",2,"-80.99","-71.46","-0.79","0.0","50","0",NA,"mt-at"
"173",2,"-80.99","-71.46","-1.57","-0.79","50","0",NA,"mt-at"
"174",2,"-80.99","-71.46","-2.36","-1.57","50","0",NA,"mt-at"
"175",2,"-80.99","-71.46","-3.14","-2.36","50","0",NA,"mt-at"
"176",2,"-80.99","-71.46","0.0","0.79","50","0",NA,"mt-at"
