"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"67","1","-80.99","-71.46","-2.36","-1.57","50","0",NA,"mt-zrf"
"68","1","-80.99","-71.46","-3.14","-2.36","50","0",NA,"mt-zrf"
"69","1","-80.99","-71.46","0.0","0.79","50","0",NA,"mt-zrf"
"70","1","-80.99","-71.46","0.79","1.57","50","0",NA,"mt-zrf"
"71","1","-80.99","-71.46","1.57","2.36","50","0",NA,"mt-zrf"
"72","1","-80.99","-71.46","2.36","3.14","50","0",NA,"mt-zrf"
"73","1","-90.51","-80.99","-0.79","0.0","50","0",NA,"mt-zrf"
"74","1","-90.51","-80.99","-1.57","-0.79","50","0",NA,"mt-zrf"
"75","1","-90.51","-80.99","-2.36","-1.57","50","0",NA,"mt-zrf"
"76","1","-90.51","-80.99","-3.14","-2.36","50","0",NA,"mt-zrf"
"77","1","-90.51","-80.99","0.0","0.79","50","0",NA,"mt-zrf"
"78","1","-90.51","-80.99","0.79","1.57","50","0",NA,"mt-zrf"
"79","1","-90.51","-80.99","1.57","2.36","50","0",NA,"mt-zrf"
"80","1","-90.51","-80.99","2.36","3.14","50","0",NA,"mt-zrf"
"81","1","14.29","23.82","-0.79","0.0","50","580","2.716800833","mt-zrf"
"82","1","14.29","23.82","-1.57","-0.79","50","323","1.577269246","mt-zrf"
"83","1","14.29","23.82","-2.36","-1.57","50","293","0.999584659","mt-zrf"
"84","1","14.29","23.82","-3.14","-2.36","50","301","1.905711751","mt-zrf"
"85","1","14.29","23.82","0.0","0.79","50","1273","2.067336202","mt-zrf"
"86","1","14.29","23.82","0.79","1.57","50","2405","3.820524433","mt-zrf"
"87","1","14.29","23.82","1.57","2.36","50","2643","9.835413558","mt-zrf"
"88","1","14.29","23.82","2.36","3.14","50","833","5.332156309","mt-zrf"
"89","1","23.82","33.35","-0.79","0.0","50","539","1.503256961","mt-zrf"
"90","1","23.82","33.35","-1.57","-0.79","50","840","1.881668603","mt-zrf"
"91","1","23.82","33.35","-2.36","-1.57","50","691","2.557960091","mt-zrf"
"92","1","23.82","33.35","-3.14","-2.36","50","1320","2.22895653","mt-zrf"
"93","1","23.82","33.35","0.0","0.79","50","772","1.868448895","mt-zrf"
"94","1","23.82","33.35","0.79","1.57","50","1263","6.031511235","mt-zrf"
"95","1","23.82","33.35","1.57","2.36","50","6630","5.311721002","mt-zrf"
"96","1","23.82","33.35","2.36","3.14","50","4127","4.426998114","mt-zrf"
"97","1","33.35","42.88","-0.79","0.0","50","1554","2.45231357","mt-zrf"
"98","1","33.35","42.88","-1.57","-0.79","50","3918","3.856039405","mt-zrf"
"99","1","33.35","42.88","-2.36","-1.57","50","1858","2.342907562","mt-zrf"
"100","1","33.35","42.88","-3.14","-2.36","50","796","1.904615866","mt-zrf"
"101","1","33.35","42.88","0.0","0.79","50","2167","3.507622684","mt-zrf"
"102","1","33.35","42.88","0.79","1.57","50","1744","3.012743098","mt-zrf"
"103","1","33.35","42.88","1.57","2.36","50","5149","3.945833632","mt-zrf"
"104","1","33.35","42.88","2.36","3.14","50","2891","3.371406839","mt-zrf"
"105","1","4.76","14.29","-0.79","0.0","50","1227","2.802503638","mt-zrf"
"106","1","4.76","14.29","-1.57","-0.79","50","359","1.768110376","mt-zrf"
"107","1","4.76","14.29","-2.36","-1.57","50","82","1.366763219","mt-zrf"
"108","1","4.76","14.29","-3.14","-2.36","50","26","0.829201202","mt-zrf"
"109","1","4.76","14.29","0.0","0.79","50","2185","3.657641862","mt-zrf"
"110","1","4.76","14.29","0.79","1.57","50","1044","3.218311119","mt-zrf"
"111","1","4.76","14.29","1.57","2.36","50","1499","15.16381662","mt-zrf"
"112","1","4.76","14.29","2.36","3.14","50","326","12.43284388","mt-zrf"
"113","1","42.88","52.4","-0.79","0.0","50","3037","3.796166578","mt-zrf"
"114","1","42.88","52.4","-1.57","-0.79","50","6977","5.155311933","mt-zrf"
"115","1","42.88","52.4","-2.36","-1.57","50","670","1.737378742","mt-zrf"
"116","1","42.88","52.4","-3.14","-2.36","50","275","1.784180634","mt-zrf"
"117","1","42.88","52.4","0.0","0.79","50","821","1.897458696","mt-zrf"
"118","1","42.88","52.4","0.79","1.57","50","873","1.466199297","mt-zrf"
"119","1","42.88","52.4","1.57","2.36","50","2022","3.562078914","mt-zrf"
"120","1","42.88","52.4","2.36","3.14","50","2335","3.408491615","mt-zrf"
"121","1","52.4","61.93","-0.79","0.0","50","13","9.639897448","mt-zrf"
"122","1","52.4","61.93","-1.57","-0.79","50","1569","8.727087542","mt-zrf"
"123","1","52.4","61.93","-2.36","-1.57","50","1","17.2017788","mt-zrf"
"124","1","52.4","61.93","-3.14","-2.36","50","0",NA,"mt-zrf"
"125","1","52.4","61.93","0.0","0.79","50","0",NA,"mt-zrf"
"126","1","52.4","61.93","0.79","1.57","50","0",NA,"mt-zrf"
"127","1","52.4","61.93","1.57","2.36","50","0",NA,"mt-zrf"
"128","1","52.4","61.93","2.36","3.14","50","0",NA,"mt-zrf"
"129","1","61.93","71.46","-0.79","0.0","50","0",NA,"mt-zrf"
"130","1","61.93","71.46","-1.57","-0.79","50","0",NA,"mt-zrf"
"131","1","61.93","71.46","-2.36","-1.57","50","0",NA,"mt-zrf"
"132","1","61.93","71.46","-3.14","-2.36","50","0",NA,"mt-zrf"
"133","1","61.93","71.46","0.0","0.79","50","0",NA,"mt-zrf"
"134","1","61.93","71.46","0.79","1.57","50","0",NA,"mt-zrf"
"135","1","61.93","71.46","1.57","2.36","50","0",NA,"mt-zrf"
"136","1","61.93","71.46","2.36","3.14","50","0",NA,"mt-zrf"
"137","1","71.46","80.99","-0.79","0.0","50","0",NA,"mt-zrf"
"138","1","71.46","80.99","-1.57","-0.79","50","0",NA,"mt-zrf"
"139","1","71.46","80.99","-2.36","-1.57","50","0",NA,"mt-zrf"
"140","1","71.46","80.99","-3.14","-2.36","50","0",NA,"mt-zrf"
"141","1","71.46","80.99","0.0","0.79","50","0",NA,"mt-zrf"
"142","1","71.46","80.99","0.79","1.57","50","0",NA,"mt-zrf"
"143","1","71.46","80.99","1.57","2.36","50","0",NA,"mt-zrf"
"144","1","71.46","80.99","2.36","3.14","50","0",NA,"mt-zrf"
"145","1","80.99","90.51","-0.79","0.0","50","0",NA,"mt-zrf"
"146","1","80.99","90.51","-1.57","-0.79","50","0",NA,"mt-zrf"
"147","1","80.99","90.51","-2.36","-1.57","50","0",NA,"mt-zrf"
"148","1","80.99","90.51","-3.14","-2.36","50","0",NA,"mt-zrf"
"149","1","80.99","90.51","0.0","0.79","50","0",NA,"mt-zrf"
"150","1","80.99","90.51","0.79","1.57","50","0",NA,"mt-zrf"
"151","1","80.99","90.51","1.57","2.36","50","0",NA,"mt-zrf"
"152","1","80.99","90.51","2.36","3.14","50","0",NA,"mt-zrf"
"153","101","-14.29","-4.76","-0.79","0.0","50","663","14.68459525","wt-zrf"
