landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
29,1,-4.76,4.76,0,0.79,50,1066,3.408316431,mt-zrf
30,1,-4.76,4.76,0.79,1.57,50,681,2.44861779,mt-zrf
31,1,-4.76,4.76,1.57,2.36,50,1145,16.13035764,mt-zrf
32,1,-4.76,4.76,2.36,3.14,50,443,14.56122355,mt-zrf
33,1,-42.88,-33.35,-0.79,0,50,1412,2.943459273,mt-zrf
34,1,-42.88,-33.35,-1.57,-0.79,50,7257,5.752580973,mt-zrf
35,1,-42.88,-33.35,-2.36,-1.57,50,4507,3.542183343,mt-zrf
36,1,-42.88,-33.35,-3.14,-2.36,50,3450,2.82091205,mt-zrf
37,1,-42.88,-33.35,0,0.79,50,282,3.178861572,mt-zrf
38,1,-42.88,-33.35,0.79,1.57,50,778,3.924322365,mt-zrf
39,1,-42.88,-33.35,1.57,2.36,50,3154,3.653475711,mt-zrf
40,1,-42.88,-33.35,2.36,3.14,50,1950,2.463814418,mt-zrf
41,1,-52.4,-42.88,-0.79,0,50,1853,3.506855262,mt-zrf
42,1,-52.4,-42.88,-1.57,-0.79,50,11140,5.641640982,mt-zrf
43,1,-52.4,-42.88,-2.36,-1.57,50,3347,2.745601492,mt-zrf
44,1,-52.4,-42.88,-3.14,-2.36,50,1742,2.376645361,mt-zrf
45,1,-52.4,-42.88,0,0.79,50,206,0.993933065,mt-zrf
46,1,-52.4,-42.88,0.79,1.57,50,585,1.496570631,mt-zrf
47,1,-52.4,-42.88,1.57,2.36,50,1751,2.792389787,mt-zrf
48,1,-52.4,-42.88,2.36,3.14,50,1019,1.778883277,mt-zrf
49,1,-61.93,-52.4,-0.79,0,50,0,NA,mt-zrf
50,1,-61.93,-52.4,-1.57,-0.79,50,2599,6.147024105,mt-zrf
51,1,-61.93,-52.4,-2.36,-1.57,50,203,2.119929908,mt-zrf
52,1,-61.93,-52.4,-3.14,-2.36,50,60,1.790509393,mt-zrf
53,1,-61.93,-52.4,0,0.79,50,0,NA,mt-zrf
54,1,-61.93,-52.4,0.79,1.57,50,0,NA,mt-zrf
55,1,-61.93,-52.4,1.57,2.36,50,0,NA,mt-zrf
56,1,-61.93,-52.4,2.36,3.14,50,0,1.704158627,mt-zrf
57,1,-71.46,-61.93,-0.79,0,50,0,NA,mt-zrf
58,1,-71.46,-61.93,-1.57,-0.79,50,0,NA,mt-zrf
59,1,-71.46,-61.93,-2.36,-1.57,50,0,NA,mt-zrf
60,1,-71.46,-61.93,-3.14,-2.36,50,0,NA,mt-zrf
61,1,-71.46,-61.93,0,0.79,50,0,NA,mt-zrf
62,1,-71.46,-61.93,0.79,1.57,50,0,NA,mt-zrf
63,1,-71.46,-61.93,1.57,2.36,50,0,NA,mt-zrf
64,1,-71.46,-61.93,2.36,3.14,50,0,NA,mt-zrf
65,1,-80.99,-71.46,-0.79,0,50,0,NA,mt-zrf
66,1,-80.99,-71.46,-1.57,-0.79,50,0,NA,mt-zrf
67,1,-80.99,-71.46,-2.36,-1.57,50,0,NA,mt-zrf
68,1,-80.99,-71.46,-3.14,-2.36,50,0,NA,mt-zrf
69,1,-80.99,-71.46,0,0.79,50,0,NA,mt-zrf
70,1,-80.99,-71.46,0.79,1.57,50,0,NA,mt-zrf
71,1,-80.99,-71.46,1.57,2.36,50,0,NA,mt-zrf
72,1,-80.99,-71.46,2.36,3.14,50,0,NA,mt-zrf
73,1,-90.51,-80.99,-0.79,0,50,0,NA,mt-zrf
74,1,-90.51,-80.99,-1.57,-0.79,50,0,NA,mt-zrf
75,1,-90.51,-80.99,-2.36,-1.57,50,0,NA,mt-zrf
76,1,-90.51,-80.99,-3.14,-2.36,50,0,NA,mt-zrf
77,1,-90.51,-80.99,0,0.79,50,0,NA,mt-zrf
78,1,-90.51,-80.99,0.79,1.57,50,0,NA,mt-zrf
79,1,-90.51,-80.99,1.57,2.36,50,0,NA,mt-zrf
80,1,-90.51,-80.99,2.36,3.14,50,0,NA,mt-zrf
81,1,14.29,23.82,-0.79,0,50,580,2.716800833,mt-zrf
82,1,14.29,23.82,-1.57,-0.79,50,323,1.577269246,mt-zrf
83,1,14.29,23.82,-2.36,-1.57,50,293,0.999584659,mt-zrf
84,1,14.29,23.82,-3.14,-2.36,50,301,1.905711751,mt-zrf
85,1,14.29,23.82,0,0.79,50,1273,2.067336202,mt-zrf
86,1,14.29,23.82,0.79,1.57,50,2405,3.820524433,mt-zrf
87,1,14.29,23.82,1.57,2.36,50,2643,9.835413558,mt-zrf
88,1,14.29,23.82,2.36,3.14,50,833,5.332156309,mt-zrf
89,1,23.82,33.35,-0.79,0,50,539,1.503256961,mt-zrf
90,1,23.82,33.35,-1.57,-0.79,50,840,1.881668603,mt-zrf
91,1,23.82,33.35,-2.36,-1.57,50,691,2.557960091,mt-zrf
92,1,23.82,33.35,-3.14,-2.36,50,1320,2.22895653,mt-zrf
93,1,23.82,33.35,0,0.79,50,772,1.868448895,mt-zrf
94,1,23.82,33.35,0.79,1.57,50,1263,6.031511235,mt-zrf
95,1,23.82,33.35,1.57,2.36,50,6630,5.311721002,mt-zrf
96,1,23.82,33.35,2.36,3.14,50,4127,4.426998114,mt-zrf
97,1,33.35,42.88,-0.79,0,50,1554,2.45231357,mt-zrf
98,1,33.35,42.88,-1.57,-0.79,50,3918,3.856039405,mt-zrf
99,1,33.35,42.88,-2.36,-1.57,50,1858,2.342907562,mt-zrf
100,1,33.35,42.88,-3.14,-2.36,50,796,1.904615866,mt-zrf
101,1,33.35,42.88,0,0.79,50,2167,3.507622684,mt-zrf
102,1,33.35,42.88,0.79,1.57,50,1744,3.012743098,mt-zrf
103,1,33.35,42.88,1.57,2.36,50,5149,3.945833632,mt-zrf
104,1,33.35,42.88,2.36,3.14,50,2891,3.371406839,mt-zrf
105,1,4.76,14.29,-0.79,0,50,1227,2.802503638,mt-zrf
106,1,4.76,14.29,-1.57,-0.79,50,359,1.768110376,mt-zrf
107,1,4.76,14.29,-2.36,-1.57,50,82,1.366763219,mt-zrf
