sample_index, landmark_index, pred, ww, wm, mm, mw
122, 1, 1, 0, 35, 43, 0
122, 2, 1, 0, 35, 43, 0
122, 3, 1, 0, 35, 43, 0
122, 4, 1, 0, 35, 43, 0
122, 5, 1, 0, 35, 43, 0
122, 6, 1, 0, 35, 43, 0
122, 7, 1, 0, 35, 43, 0
122, 8, 1, 0, 35, 43, 0
122, 9, 1, 0, 35, 43, 0
122, 10, 1, 0, 35, 43, 0
122, 11, 1, 35, 0, 43, 0
122, 12, 1, 35, 0, 43, 0
122, 13, 1, 35, 0, 43, 0
122, 14, 1, 35, 0, 43, 0
122, 15, 1, 35, 0, 43, 0
122, 16, 1, 35, 0, 43, 0
122, 17, 1, 35, 0, 42, 1
122, 18, 1, 33, 2, 43, 0
122, 19, 1, 34, 1, 37, 6
122, 20, 1, 33, 2, 33, 10
122, 21, 1, 34, 1, 36, 7
122, 22, 1, 34, 1, 37, 6
122, 23, 1, 32, 3, 42, 1
122, 24, 1, 35, 0, 42, 1
122, 25, 1, 33, 2, 37, 6
122, 26, 1, 29, 6, 36, 7
122, 27, 0, 23, 12, 31, 12
122, 28, 0, 25, 10, 25, 18
122, 29, 0, 23, 12, 25, 18
122, 30, 0, 28, 7, 25, 18
122, 31, 0, 27, 8, 23, 20
122, 32, 1, 4, 31, 31, 12
122, 33, 1, 25, 10, 34, 9
122, 34, 0, 24, 11, 26, 17
122, 35, 0, 11, 24, 38, 5
122, 36, 0, 32, 3, 5, 38
122, 37, 1, 14, 21, 29, 14
122, 38, 1, 7, 28, 40, 3
122, 39, 1, 15, 20, 36, 7
122, 40, 0, 29, 6, 25, 18
122, 41, 1, 25, 10, 33, 10
122, 42, 0, 15, 20, 34, 9
122, 43, 0, 27, 8, 23, 20
122, 44, 0, 19, 16, 32, 11
122, 45, 0, 24, 11, 28, 15
122, 46, 0, 22, 13, 31, 12
122, 47, 0, 28, 7, 28, 15
122, 48, 0, 24, 11, 28, 15
122, 49, 1, 26, 9, 35, 8
122, 50, 0, 23, 12, 33, 10
122, 51, 0, 18, 17, 36, 7
122, 52, 0, 15, 20, 38, 5
122, 53, 0, 26, 9, 33, 10
122, 54, 0, 26, 9, 31, 12
122, 55, 0, 24, 11, 34, 9
122, 56, 0, 18, 17, 37, 6
122, 57, 0, 24, 11, 30, 13
122, 58, 0, 23, 12, 35, 8
122, 59, 0, 16, 19, 36, 7
122, 60, 1, 14, 21, 39, 4
122, 61, 0, 24, 11, 29, 14
122, 62, 0, 27, 8, 32, 11
122, 63, 0, 28, 7, 34, 9
122, 64, 1, 20, 15, 35, 8
122, 65, 0, 21, 14, 35, 8
122, 66, 0, 12, 23, 40, 3
122, 67, 0, 13, 22, 40, 3
122, 68, 1, 13, 22, 40, 3
122, 69, 1, 21, 14, 34, 9
122, 70, 0, 22, 13, 31, 12
122, 71, 1, 21, 14, 32, 11
122, 72, 0, 22, 13, 36, 7
122, 73, 0, 18, 17, 32, 11
122, 74, 0, 14, 21, 38, 5
122, 75, 1, 11, 24, 39, 4
122, 76, 1, 11, 24, 42, 1
122, 77, 1, 13, 22, 36, 7
122, 78, 0, 18, 17, 30, 13
122, 79, 0, 25, 10, 33, 10
122, 80, 1, 12, 23, 40, 3
122, 81, 0, 20, 15, 34, 9
122, 82, 0, 19, 16, 36, 7
122, 83, 0, 21, 14, 32, 11
122, 84, 1, 11, 24, 41, 2
122, 85, 0, 21, 14, 32, 11
122, 86, 0, 20, 15, 35, 8
122, 87, 0, 25, 10, 32, 11
122, 88, 0, 21, 14, 34, 9
122, 89, 0, 21, 14, 30, 13
122, 90, 0, 20, 15, 32, 11
122, 91, 0, 19, 16, 39, 4
122, 92, 1, 15, 20, 36, 7
