sample_index, landmark_index, pred, ww, wm, mm, mw
140, 1, 1, 0, 35, 43, 0
140, 2, 1, 0, 35, 43, 0
140, 3, 1, 0, 35, 43, 0
140, 4, 1, 0, 35, 43, 0
140, 5, 1, 0, 35, 43, 0
140, 6, 1, 0, 35, 43, 0
140, 7, 1, 0, 35, 43, 0
140, 8, 1, 0, 35, 43, 0
140, 9, 1, 0, 35, 43, 0
140, 10, 1, 0, 35, 43, 0
140, 11, 1, 35, 0, 43, 0
140, 12, 1, 35, 0, 43, 0
140, 13, 1, 35, 0, 43, 0
140, 14, 1, 35, 0, 43, 0
140, 15, 1, 35, 0, 43, 0
140, 16, 1, 35, 0, 43, 0
140, 17, 1, 35, 0, 42, 1
140, 18, 1, 33, 2, 43, 0
140, 19, 1, 34, 1, 37, 6
140, 20, 0, 33, 2, 33, 10
140, 21, 1, 34, 1, 36, 7
140, 22, 1, 34, 1, 37, 6
140, 23, 1, 32, 3, 42, 1
140, 24, 1, 35, 0, 42, 1
140, 25, 1, 33, 2, 37, 6
140, 26, 1, 29, 6, 36, 7
140, 27, 1, 23, 12, 31, 12
140, 28, 1, 25, 10, 25, 18
140, 29, 1, 23, 12, 25, 18
140, 30, 1, 28, 7, 25, 18
140, 31, 1, 27, 8, 23, 20
140, 32, 0, 4, 31, 31, 12
140, 33, 1, 25, 10, 34, 9
140, 34, 1, 24, 11, 26, 17
140, 35, 1, 11, 24, 38, 5
140, 36, 0, 32, 3, 5, 38
140, 37, 0, 14, 21, 29, 14
140, 38, 0, 7, 28, 40, 3
140, 39, 1, 15, 20, 36, 7
140, 40, 1, 29, 6, 25, 18
140, 41, 1, 25, 10, 33, 10
140, 42, 1, 15, 20, 34, 9
140, 43, 1, 27, 8, 23, 20
140, 44, 1, 19, 16, 32, 11
140, 45, 1, 24, 11, 28, 15
140, 46, 1, 22, 13, 31, 12
140, 47, 1, 28, 7, 28, 15
140, 48, 1, 24, 11, 28, 15
140, 49, 1, 26, 9, 35, 8
140, 50, 1, 23, 12, 33, 10
140, 51, 1, 18, 17, 36, 7
140, 52, 1, 15, 20, 38, 5
140, 53, 1, 26, 9, 33, 10
140, 54, 1, 26, 9, 31, 12
140, 55, 1, 24, 11, 34, 9
140, 56, 1, 18, 17, 37, 6
140, 57, 1, 24, 11, 30, 13
140, 58, 1, 23, 12, 35, 8
140, 59, 0, 16, 19, 36, 7
140, 60, 1, 14, 21, 39, 4
140, 61, 1, 24, 11, 29, 14
140, 62, 1, 27, 8, 32, 11
140, 63, 1, 28, 7, 34, 9
140, 64, 1, 20, 15, 35, 8
140, 65, 0, 21, 14, 35, 8
140, 66, 1, 12, 23, 40, 3
140, 67, 1, 13, 22, 40, 3
140, 68, 1, 13, 22, 40, 3
140, 69, 1, 21, 14, 34, 9
140, 70, 1, 22, 13, 31, 12
140, 71, 1, 21, 14, 32, 11
140, 72, 1, 22, 13, 36, 7
140, 73, 1, 18, 17, 32, 11
140, 74, 1, 14, 21, 38, 5
140, 75, 1, 11, 24, 39, 4
140, 76, 1, 11, 24, 42, 1
140, 77, 1, 13, 22, 36, 7
140, 78, 0, 18, 17, 30, 13
140, 79, 1, 25, 10, 33, 10
140, 80, 1, 12, 23, 40, 3
140, 81, 1, 20, 15, 34, 9
140, 82, 1, 19, 16, 36, 7
140, 83, 0, 21, 14, 32, 11
140, 84, 1, 11, 24, 41, 2
140, 85, 1, 21, 14, 32, 11
