sample_index, landmark_index, pred, ww, wm, mm, mw
1, 1, 1, 0, 35, 43, 0
1, 2, 1, 0, 35, 43, 0
1, 3, 1, 0, 35, 43, 0
1, 4, 1, 0, 35, 43, 0
1, 5, 1, 0, 35, 43, 0
1, 6, 1, 0, 35, 43, 0
1, 7, 1, 0, 35, 43, 0
1, 8, 1, 0, 35, 43, 0
1, 9, 1, 0, 35, 43, 0
1, 10, 1, 0, 35, 43, 0
1, 11, 0, 35, 0, 43, 0
1, 12, 0, 35, 0, 43, 0
1, 13, 0, 35, 0, 43, 0
1, 14, 0, 35, 0, 43, 0
1, 15, 0, 35, 0, 43, 0
1, 16, 0, 35, 0, 43, 0
1, 17, 0, 35, 0, 42, 1
1, 18, 0, 33, 2, 43, 0
1, 19, 0, 34, 1, 37, 6
1, 20, 0, 33, 2, 33, 10
1, 21, 0, 34, 1, 36, 7
1, 22, 0, 34, 1, 37, 6
1, 23, 0, 32, 3, 42, 1
1, 24, 0, 35, 0, 42, 1
1, 25, 0, 33, 2, 37, 6
1, 26, 0, 29, 6, 36, 7
1, 27, 1, 23, 12, 31, 12
1, 28, 0, 25, 10, 25, 18
1, 29, 0, 23, 12, 25, 18
1, 30, 0, 28, 7, 25, 18
1, 31, 0, 27, 8, 23, 20
1, 32, 1, 4, 31, 31, 12
1, 33, 1, 25, 10, 34, 9
1, 34, 1, 24, 11, 26, 17
1, 35, 1, 11, 24, 38, 5
1, 36, 0, 32, 3, 5, 38
1, 37, 0, 14, 21, 29, 14
1, 38, 1, 7, 28, 40, 3
1, 39, 1, 15, 20, 36, 7
1, 40, 0, 29, 6, 25, 18
1, 41, 0, 25, 10, 33, 10
1, 42, 1, 15, 20, 34, 9
1, 43, 0, 27, 8, 23, 20
1, 44, 0, 19, 16, 32, 11
1, 45, 1, 24, 11, 28, 15
1, 46, 1, 22, 13, 31, 12
1, 47, 0, 28, 7, 28, 15
1, 48, 0, 24, 11, 28, 15
1, 49, 0, 26, 9, 35, 8
1, 50, 0, 23, 12, 33, 10
1, 51, 0, 18, 17, 36, 7
1, 52, 0, 15, 20, 38, 5
1, 53, 0, 26, 9, 33, 10
1, 54, 0, 26, 9, 31, 12
1, 55, 0, 24, 11, 34, 9
1, 56, 0, 18, 17, 37, 6
1, 57, 0, 24, 11, 30, 13
1, 58, 0, 23, 12, 35, 8
1, 59, 0, 16, 19, 36, 7
1, 60, 1, 14, 21, 39, 4
1, 61, 0, 24, 11, 29, 14
1, 62, 0, 27, 8, 32, 11
1, 63, 0, 28, 7, 34, 9
1, 64, 0, 20, 15, 35, 8
1, 65, 0, 21, 14, 35, 8
1, 66, 1, 12, 23, 40, 3
1, 67, 1, 13, 22, 40, 3
1, 68, 0, 13, 22, 40, 3
1, 69, 0, 21, 14, 34, 9
1, 70, 0, 22, 13, 31, 12
1, 71, 0, 21, 14, 32, 11
1, 72, 1, 22, 13, 36, 7
1, 73, 0, 18, 17, 32, 11
1, 74, 0, 14, 21, 38, 5
1, 75, 1, 11, 24, 39, 4
1, 76, 0, 11, 24, 42, 1
1, 77, 0, 13, 22, 36, 7
1, 78, 0, 18, 17, 30, 13
