sample_index, landmark_index, pred, ww, wm, mm, mw
120, 1, 1, 0, 35, 43, 0
120, 2, 1, 0, 35, 43, 0
120, 3, 1, 0, 35, 43, 0
120, 4, 1, 0, 35, 43, 0
120, 5, 1, 0, 35, 43, 0
120, 6, 1, 0, 35, 43, 0
120, 7, 1, 0, 35, 43, 0
120, 8, 1, 0, 35, 43, 0
120, 9, 1, 0, 35, 43, 0
120, 10, 1, 0, 35, 43, 0
120, 11, 1, 35, 0, 43, 0
120, 12, 1, 35, 0, 43, 0
120, 13, 1, 35, 0, 43, 0
120, 14, 1, 35, 0, 43, 0
120, 15, 1, 35, 0, 43, 0
120, 16, 1, 35, 0, 43, 0
120, 17, 1, 35, 0, 42, 1
120, 18, 1, 33, 2, 43, 0
120, 19, 1, 34, 1, 37, 6
120, 20, 1, 33, 2, 33, 10
120, 21, 1, 34, 1, 36, 7
120, 22, 1, 34, 1, 37, 6
120, 23, 1, 32, 3, 42, 1
120, 24, 1, 35, 0, 42, 1
120, 25, 1, 33, 2, 37, 6
120, 26, 1, 29, 6, 36, 7
120, 27, 0, 23, 12, 31, 12
120, 28, 0, 25, 10, 25, 18
120, 29, 0, 23, 12, 25, 18
120, 30, 0, 28, 7, 25, 18
120, 31, 0, 27, 8, 23, 20
120, 32, 1, 4, 31, 31, 12
120, 33, 0, 25, 10, 34, 9
120, 34, 0, 24, 11, 26, 17
120, 35, 1, 11, 24, 38, 5
120, 36, 0, 32, 3, 5, 38
120, 37, 0, 14, 21, 29, 14
120, 38, 1, 7, 28, 40, 3
120, 39, 0, 15, 20, 36, 7
120, 40, 0, 29, 6, 25, 18
120, 41, 1, 25, 10, 33, 10
120, 42, 1, 15, 20, 34, 9
120, 43, 0, 27, 8, 23, 20
120, 44, 0, 19, 16, 32, 11
120, 45, 1, 24, 11, 28, 15
120, 46, 1, 22, 13, 31, 12
120, 47, 0, 28, 7, 28, 15
120, 48, 0, 24, 11, 28, 15
120, 49, 1, 26, 9, 35, 8
120, 50, 1, 23, 12, 33, 10
120, 51, 1, 18, 17, 36, 7
120, 52, 1, 15, 20, 38, 5
120, 53, 1, 26, 9, 33, 10
120, 54, 1, 26, 9, 31, 12
120, 55, 1, 24, 11, 34, 9
120, 56, 1, 18, 17, 37, 6
120, 57, 1, 24, 11, 30, 13
120, 58, 1, 23, 12, 35, 8
120, 59, 1, 16, 19, 36, 7
120, 60, 1, 14, 21, 39, 4
120, 61, 0, 24, 11, 29, 14
120, 62, 1, 27, 8, 32, 11
120, 63, 1, 28, 7, 34, 9
120, 64, 1, 20, 15, 35, 8
120, 65, 1, 21, 14, 35, 8
120, 66, 1, 12, 23, 40, 3
120, 67, 1, 13, 22, 40, 3
120, 68, 1, 13, 22, 40, 3
120, 69, 0, 21, 14, 34, 9
120, 70, 1, 22, 13, 31, 12
120, 71, 0, 21, 14, 32, 11
120, 72, 1, 22, 13, 36, 7
120, 73, 1, 18, 17, 32, 11
120, 74, 1, 14, 21, 38, 5
120, 75, 1, 11, 24, 39, 4
120, 76, 1, 11, 24, 42, 1
120, 77, 1, 13, 22, 36, 7
120, 78, 1, 18, 17, 30, 13
120, 79, 1, 25, 10, 33, 10
120, 80, 1, 12, 23, 40, 3
120, 81, 1, 20, 15, 34, 9
120, 82, 1, 19, 16, 36, 7
120, 83, 1, 21, 14, 32, 11
120, 84, 1, 11, 24, 41, 2
120, 85, 1, 21, 14, 32, 11
120, 86, 1, 20, 15, 35, 8
120, 87, 1, 25, 10, 32, 11
120, 88, 1, 21, 14, 34, 9
120, 89, 1, 21, 14, 30, 13
120, 90, 1, 20, 15, 32, 11
120, 91, 1, 19, 16, 39, 4
120, 92, 1, 15, 20, 36, 7
120, 93, 0, 18, 17, 32, 11
120, 94, 1, 20, 15, 29, 14
120, 95, 1, 24, 11, 32, 11
120, 96, 1, 17, 18, 37, 6
120, 97, 0, 23, 12, 28, 15
120, 98, 0, 28, 7, 28, 15
120, 99, 1, 13, 22, 40, 3
120, 100, 1, 24, 11, 30, 13
120, 101, 1, 21, 14, 32, 11
120, 102, 1, 25, 10, 29, 14
120, 103, 1, 28, 7, 29, 14
120, 104, 1, 16, 19, 37, 6
120, 105, 0, 26, 9, 28, 15
120, 106, 0, 25, 10, 27, 16
