sample_index, landmark_index, pred, ww, wm, mm, mw
125, 1, 1, 0, 35, 43, 0
125, 2, 1, 0, 35, 43, 0
125, 3, 1, 0, 35, 43, 0
125, 4, 1, 0, 35, 43, 0
125, 5, 1, 0, 35, 43, 0
125, 6, 1, 0, 35, 43, 0
125, 7, 1, 0, 35, 43, 0
125, 8, 1, 0, 35, 43, 0
125, 9, 1, 0, 35, 43, 0
125, 10, 1, 0, 35, 43, 0
125, 11, 1, 35, 0, 43, 0
125, 12, 1, 35, 0, 43, 0
125, 13, 1, 35, 0, 43, 0
125, 14, 1, 35, 0, 43, 0
125, 15, 1, 35, 0, 43, 0
125, 16, 1, 35, 0, 43, 0
125, 17, 1, 35, 0, 42, 1
125, 18, 1, 33, 2, 43, 0
125, 19, 1, 34, 1, 37, 6
125, 20, 1, 33, 2, 33, 10
125, 21, 1, 34, 1, 36, 7
125, 22, 1, 34, 1, 37, 6
125, 23, 1, 32, 3, 42, 1
125, 24, 1, 35, 0, 42, 1
125, 25, 1, 33, 2, 37, 6
125, 26, 1, 29, 6, 36, 7
125, 27, 0, 23, 12, 31, 12
125, 28, 0, 25, 10, 25, 18
125, 29, 0, 23, 12, 25, 18
125, 30, 0, 28, 7, 25, 18
125, 31, 0, 27, 8, 23, 20
125, 32, 1, 4, 31, 31, 12
125, 33, 1, 25, 10, 34, 9
125, 34, 1, 24, 11, 26, 17
125, 35, 1, 11, 24, 38, 5
125, 36, 0, 32, 3, 5, 38
125, 37, 1, 14, 21, 29, 14
125, 38, 1, 7, 28, 40, 3
125, 39, 1, 15, 20, 36, 7
125, 40, 1, 29, 6, 25, 18
125, 41, 1, 25, 10, 33, 10
125, 42, 1, 15, 20, 34, 9
125, 43, 1, 27, 8, 23, 20
125, 44, 1, 19, 16, 32, 11
125, 45, 0, 24, 11, 28, 15
125, 46, 1, 22, 13, 31, 12
125, 47, 0, 28, 7, 28, 15
125, 48, 1, 24, 11, 28, 15
125, 49, 1, 26, 9, 35, 8
125, 50, 1, 23, 12, 33, 10
125, 51, 1, 18, 17, 36, 7
125, 52, 1, 15, 20, 38, 5
125, 53, 1, 26, 9, 33, 10
125, 54, 1, 26, 9, 31, 12
125, 55, 1, 24, 11, 34, 9
125, 56, 1, 18, 17, 37, 6
125, 57, 1, 24, 11, 30, 13
125, 58, 1, 23, 12, 35, 8
125, 59, 1, 16, 19, 36, 7
125, 60, 1, 14, 21, 39, 4
125, 61, 0, 24, 11, 29, 14
125, 62, 1, 27, 8, 32, 11
125, 63, 1, 28, 7, 34, 9
125, 64, 1, 20, 15, 35, 8
125, 65, 1, 21, 14, 35, 8
125, 66, 1, 12, 23, 40, 3
125, 67, 1, 13, 22, 40, 3
125, 68, 1, 13, 22, 40, 3
125, 69, 1, 21, 14, 34, 9
125, 70, 1, 22, 13, 31, 12
125, 71, 1, 21, 14, 32, 11
125, 72, 1, 22, 13, 36, 7
125, 73, 1, 18, 17, 32, 11
125, 74, 1, 14, 21, 38, 5
125, 75, 1, 11, 24, 39, 4
125, 76, 1, 11, 24, 42, 1
125, 77, 0, 13, 22, 36, 7
125, 78, 1, 18, 17, 30, 13
125, 79, 1, 25, 10, 33, 10
125, 80, 1, 12, 23, 40, 3
125, 81, 1, 20, 15, 34, 9
125, 82, 1, 19, 16, 36, 7
125, 83, 1, 21, 14, 32, 11
125, 84, 1, 11, 24, 41, 2
125, 85, 0, 21, 14, 32, 11
125, 86, 0, 20, 15, 35, 8
125, 87, 1, 25, 10, 32, 11
125, 88, 1, 21, 14, 34, 9
125, 89, 0, 21, 14, 30, 13
125, 90, 1, 20, 15, 32, 11
125, 91, 1, 19, 16, 39, 4
125, 92, 1, 15, 20, 36, 7
125, 93, 0, 18, 17, 32, 11
125, 94, 1, 20, 15, 29, 14
125, 95, 0, 24, 11, 32, 11
125, 96, 1, 17, 18, 37, 6
125, 97, 0, 23, 12, 28, 15
125, 98, 0, 28, 7, 28, 15
125, 99, 0, 13, 22, 40, 3
125, 100, 0, 24, 11, 30, 13
125, 101, 0, 21, 14, 32, 11
125, 102, 0, 25, 10, 29, 14
125, 103, 0, 28, 7, 29, 14
125, 104, 0, 16, 19, 37, 6
125, 105, 0, 26, 9, 28, 15
125, 106, 0, 25, 10, 27, 16
125, 107, 0, 24, 11, 28, 15
125, 108, 0, 24, 11, 30, 13
125, 109, 0, 21, 14, 34, 9
125, 110, 1, 18, 17, 39, 4
125, 111, 1, 22, 13, 31, 12
125, 112, 0, 25, 10, 24, 19
125, 113, 1, 25, 10, 36, 7
125, 114, 1, 20, 15, 37, 6
125, 115, 1, 18, 17, 23, 20
125, 116, 1, 16, 19, 28, 15
125, 117, 1, 21, 14, 26, 17
125, 118, 1, 10, 25, 40, 3
125, 119, 1, 24, 11, 19, 24
125, 120, 1, 19, 16, 25, 18
125, 121, 1, 8, 27, 29, 14
125, 122, 1, 4, 31, 38, 5
125, 123, 0, 25, 10, 27, 16
125, 124, 1, 32, 3, 34, 9
125, 125, 1, 0, 35, 43, 0
125, 126, 1, 3, 32, 41, 2
125, 127, 1, 28, 7, 32, 11
125, 128, 1, 30, 5, 31, 12
125, 129, 1, 33, 2, 42, 1
125, 130, 1, 31, 4, 42, 1
125, 131, 1, 34, 1, 40, 3
125, 132, 1, 34, 1, 38, 5
125, 133, 1, 34, 1, 37, 6
125, 134, 1, 1, 34, 43, 0
125, 135, 1, 35, 0, 36, 7
125, 136, 1, 34, 1, 38, 5
125, 137, 1, 35, 0, 43, 0
125, 138, 1, 35, 0, 43, 0
125, 139, 1, 34, 1, 43, 0
125, 140, 1, 34, 1, 43, 0
125, 141, 1, 34, 1, 43, 0
125, 142, 1, 35, 0, 43, 0
125, 143, 1, 35, 0, 43, 0
125, 144, 1, 35, 0, 43, 0
125, 145, 1, 0, 35, 43, 0
125, 146, 1, 0, 35, 43, 0
125, 147, 1, 35, 0, 43, 0
125, 148, 1, 35, 0, 43, 0
125, 149, 1, 35, 0, 43, 0
125, 150, 1, 35, 0, 43, 0
125, 151, 1, 35, 0, 43, 0
125, 152, 1, 35, 0, 43, 0
