sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
340,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,28.82484076,1
4,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,28.82484076,1
5,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,28.82484076,1
6,-90.51,-80.99,-3.14,-2.36,50,0,,mt-zrf,28.82484076,1
1,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
101,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
102,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
103,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
104,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
105,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
106,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
107,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
108,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
109,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
110,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
111,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
112_1,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
112_2,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
113,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
114,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
115,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
116,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
117,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
118,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
119,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
120,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
121,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
122,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
123,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
124,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
125,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
126,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
127,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
128,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
129,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
130,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
131,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
132,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
133,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
134,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
135,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
136,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
137,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
138,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
139,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
140,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
141,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
142,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
143,-90.51,-80.99,-2.36,-1.57,50,0,,wt-zrf,38.35169492,2
152,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
172,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
19,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
2,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
21,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
24,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
3,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
317,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
318,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
319,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
320,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
321,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
323,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
324,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
325,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
326,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
327,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
328,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
329,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
330,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
331,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
332,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
333,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
334,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
335,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
336,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
337,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
338,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
339,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
340,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
4,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
5,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
6,-90.51,-80.99,-2.36,-1.57,50,0,,mt-zrf,38.35169492,2
1,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
101,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
102,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
103,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
104,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
105,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
106,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
107,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
108,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
109,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
110,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
111,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
112_1,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
112_2,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
113,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
114,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
115,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
116,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
117,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
118,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
119,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
