,f1,landmark_index,m_f1,m_precision,m_recall,m_support,mm,mw,precision,pred,recall,sample_index,w_f1,w_precision,w_recall,w_support,wm,ww
0,0.385026738,1,0.0,0.0,0.0,35,0,35,0.297520661,0,0.545454545,113,0.705882353,0.545454545,1.0,42,0,42
1,0.385026738,2,0.0,0.0,0.0,35,0,35,0.297520661,0,0.545454545,113,0.705882353,0.545454545,1.0,42,0,42
2,0.385026738,3,0.0,0.0,0.0,35,0,35,0.297520661,0,0.545454545,113,0.705882353,0.545454545,1.0,42,0,42
3,1.0,4,1.0,1.0,1.0,35,35,0,1.0,0,1.0,113,1.0,1.0,1.0,42,0,42
4,1.0,5,1.0,1.0,1.0,35,35,0,1.0,0,1.0,113,1.0,1.0,1.0,42,0,42
5,1.0,6,1.0,1.0,1.0,35,35,0,1.0,0,1.0,113,1.0,1.0,1.0,42,0,42
6,0.385026738,7,0.0,0.0,0.0,35,0,35,0.297520661,0,0.545454545,113,0.705882353,0.545454545,1.0,42,0,42
7,0.385026738,8,0.0,0.0,0.0,35,0,35,0.297520661,0,0.545454545,113,0.705882353,0.545454545,1.0,42,0,42
8,1.0,9,1.0,1.0,1.0,35,35,0,1.0,0,1.0,113,1.0,1.0,1.0,42,0,42
9,1.0,10,1.0,1.0,1.0,35,35,0,1.0,0,1.0,113,1.0,1.0,1.0,42,0,42
10,0.9610786290000001,11,0.9577464790000001,0.944444444,0.9714285709999999,35,34,1,0.961443705,0,0.961038961,113,0.9638554220000001,0.975609756,0.9523809520000001,42,2,40
11,1.0,12,1.0,1.0,1.0,35,35,0,1.0,0,1.0,113,1.0,1.0,1.0,42,0,42
12,0.986995272,13,0.985507246,1.0,0.9714285709999999,35,34,1,0.987315011,0,0.9870129870000001,113,0.9882352940000001,0.9767441859999999,1.0,42,0,42
13,0.922235872,14,0.9189189190000001,0.871794872,0.9714285709999999,35,34,1,0.927370875,0,0.922077922,113,0.925,0.9736842109999999,0.880952381,42,5,37
14,0.986995272,15,0.985507246,1.0,0.9714285709999999,35,34,1,0.987315011,0,0.9870129870000001,113,0.9882352940000001,0.9767441859999999,1.0,42,0,42
15,0.385026738,16,0.0,0.0,0.0,35,0,35,0.297520661,0,0.545454545,113,0.705882353,0.545454545,1.0,42,0,42
16,0.922235872,17,0.9189189190000001,0.871794872,0.9714285709999999,35,34,1,0.927370875,0,0.922077922,113,0.925,0.9736842109999999,0.880952381,42,5,37
17,0.9481399359999999,18,0.944444444,0.9189189190000001,0.9714285709999999,35,34,1,0.9495085999999999,0,0.9480519479999999,113,0.951219512,0.975,0.9285714290000001,42,3,39
18,0.751410605,19,0.7654320990000001,0.673913043,0.8857142859999999,35,31,4,0.781397424,0,0.753246753,113,0.739726027,0.870967742,0.642857143,42,15,27
19,0.72169263,20,0.752941176,0.64,0.914285714,35,32,3,0.775757576,0,0.727272727,113,0.695652174,0.8888888890000001,0.571428571,42,18,24
20,0.909183469,21,0.9014084509999999,0.8888888890000001,0.914285714,35,32,3,0.9095836409999999,0,0.9090909090000001,113,0.915662651,0.926829268,0.904761905,42,4,38
21,0.9476584020000001,22,0.939393939,1.0,0.8857142859999999,35,31,4,0.95256917,0,0.9480519479999999,113,0.954545455,0.913043478,1.0,42,0,42
22,0.973946027,23,0.970588235,1.0,0.942857143,35,33,2,0.975206612,0,0.974025974,113,0.9767441859999999,0.954545455,1.0,42,0,42
23,0.974025974,24,0.9714285709999999,0.9714285709999999,0.9714285709999999,35,34,1,0.974025974,0,0.974025974,113,0.976190476,0.976190476,0.976190476,42,1,41
24,0.779593402,25,0.773333333,0.725,0.828571429,35,29,6,0.7865479120000001,0,0.7792207790000001,113,0.7848101270000001,0.837837838,0.738095238,42,11,31
25,0.818489776,26,0.805555556,0.783783784,0.828571429,35,29,6,0.81990172,0,0.818181818,113,0.8292682929999999,0.85,0.80952381,42,8,34
26,0.8302999109999999,27,0.8059701490000001,0.84375,0.771428571,35,27,8,0.832007576,0,0.8311688309999999,113,0.850574713,0.8222222220000001,0.880952381,42,5,37
27,0.816804408,28,0.787878788,0.838709677,0.7428571429999999,35,26,9,0.819966849,0,0.818181818,113,0.8409090909999999,0.804347826,0.880952381,42,5,37
28,0.804192205,29,0.7761194029999999,0.8125,0.7428571429999999,35,26,9,0.8056818179999999,0,0.805194805,113,0.8275862070000001,0.8,0.857142857,42,6,36
29,0.7662337659999999,30,0.7428571429999999,0.7428571429999999,0.7428571429999999,35,26,9,0.7662337659999999,0,0.7662337659999999,113,0.7857142859999999,0.7857142859999999,0.7857142859999999,42,9,33
30,0.8673976790000001,31,0.838709677,0.962962963,0.7428571429999999,35,26,9,0.884983165,0,0.87012987,113,0.891304348,0.82,0.976190476,42,1,41
31,0.778550058,32,0.7848101270000001,0.704545455,0.8857142859999999,35,31,4,0.799586777,0,0.7792207790000001,113,0.773333333,0.8787878790000001,0.69047619,42,13,29
32,0.791568213,33,0.764705882,0.787878788,0.7428571429999999,35,26,9,0.792011019,0,0.792207792,113,0.813953488,0.795454545,0.833333333,42,7,35
33,0.829417773,34,0.8,0.8666666670000001,0.7428571429999999,35,26,9,0.834945197,0,0.8311688309999999,113,0.853932584,0.808510638,0.904761905,42,4,38
34,0.8429752070000001,35,0.818181818,0.870967742,0.771428571,35,27,8,0.8464873140000001,0,0.8441558440000001,113,0.8636363640000001,0.826086957,0.904761905,42,4,38
35,0.73243069,36,0.666666667,0.8,0.571428571,35,20,15,0.7517482520000001,0,0.74025974,113,0.787234043,0.711538462,0.880952381,42,5,37
