,sample_index,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
0,328,1,1,0,35,43,0,328,35,43,0.0,0.0,0.5512820512820513,1.0,0.0,0.7107438016528926,0.30391190006574625,0.5512820512820513,0.39182030091121006
1,328,2,1,0,35,43,0,328,35,43,0.0,0.0,0.5512820512820513,1.0,0.0,0.7107438016528926,0.30391190006574625,0.5512820512820513,0.39182030091121006
2,328,3,1,0,35,43,0,328,35,43,0.0,0.0,0.5512820512820513,1.0,0.0,0.7107438016528926,0.30391190006574625,0.5512820512820513,0.39182030091121006
3,328,4,0,35,0,43,0,328,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,328,5,0,35,0,43,0,328,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,328,6,0,35,0,43,0,328,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,328,7,1,0,35,43,0,328,35,43,0.0,0.0,0.5512820512820513,1.0,0.0,0.7107438016528926,0.30391190006574625,0.5512820512820513,0.39182030091121006
7,328,8,1,0,35,43,0,328,35,43,0.0,0.0,0.5512820512820513,1.0,0.0,0.7107438016528926,0.30391190006574625,0.5512820512820513,0.39182030091121006
8,328,9,0,35,0,43,0,328,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,328,10,0,35,0,43,0,328,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,328,11,0,34,1,41,2,328,35,43,0.9444444444444444,0.9714285714285714,0.9761904761904762,0.9534883720930233,0.9577464788732395,0.9647058823529412,0.9619454619454618,0.9615384615384616,0.9615830730992289
11,328,12,0,35,0,43,0,328,35,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,328,13,0,34,1,43,0,328,35,43,1.0,0.9714285714285714,0.9772727272727273,1.0,0.9855072463768115,0.9885057471264368,0.9874708624708626,0.9871794871794872,0.9871602660208356
13,328,14,0,34,1,38,5,328,35,43,0.8717948717948718,0.9714285714285714,0.9743589743589743,0.8837209302325582,0.9189189189189189,0.9268292682926831,0.9283366206443129,0.9230769230769231,0.9232797525480453
14,328,15,0,34,1,43,0,328,35,43,1.0,0.9714285714285714,0.9772727272727273,1.0,0.9855072463768115,0.9885057471264368,0.9874708624708626,0.9871794871794872,0.9871602660208356
15,328,16,1,0,35,43,0,328,35,43,0.0,0.0,0.5512820512820513,1.0,0.0,0.7107438016528926,0.30391190006574625,0.5512820512820513,0.39182030091121006
16,328,17,0,34,1,38,5,328,35,43,0.8717948717948718,0.9714285714285714,0.9743589743589743,0.8837209302325582,0.9189189189189189,0.9268292682926831,0.9283366206443129,0.9230769230769231,0.9232797525480453
17,328,18,0,34,1,40,3,328,35,43,0.918918918918919,0.9714285714285714,0.975609756097561,0.9302325581395349,0.9444444444444445,0.9523809523809524,0.9501715599276574,0.9487179487179487,0.9488196988196987
18,328,19,0,31,4,28,15,328,35,43,0.6739130434782609,0.8857142857142857,0.875,0.6511627906976745,0.7654320987654321,0.7466666666666667,0.7847686733556298,0.7564102564102564,0.7550870528648307
19,328,20,0,32,3,25,18,328,35,43,0.64,0.9142857142857143,0.8928571428571429,0.5813953488372093,0.7529411764705883,0.7042253521126761,0.7793956043956044,0.7307692307692307,0.7260850168886623
20,328,21,0,32,3,39,4,328,35,43,0.8888888888888888,0.9142857142857143,0.9285714285714286,0.9069767441860465,0.9014084507042254,0.9176470588235294,0.9107651607651608,0.9102564102564102,0.9103605038982006
21,328,22,0,31,4,43,0,328,35,43,1.0,0.8857142857142857,0.9148936170212766,1.0,0.9393939393939393,0.9555555555555556,0.9530823786142935,0.9487179487179487,0.9483035483035482
22,328,23,0,33,2,43,0,328,35,43,1.0,0.9428571428571428,0.9555555555555556,1.0,0.9705882352941176,0.9772727272727273,0.9754985754985755,0.9743589743589743,0.974273275743864
23,328,24,0,34,1,42,1,328,35,43,0.9714285714285714,0.9714285714285714,0.9767441860465116,0.9767441860465116,0.9714285714285714,0.9767441860465116,0.9743589743589743,0.9743589743589743,0.9743589743589743
24,328,25,0,29,6,32,11,328,35,43,0.725,0.8285714285714286,0.8421052631578947,0.7441860465116279,0.7733333333333333,0.7901234567901234,0.7895580296896086,0.782051282051282,0.7825894270338714
25,328,26,0,29,6,35,8,328,35,43,0.7837837837837838,0.8285714285714286,0.8536585365853658,0.813953488372093,0.8055555555555555,0.8333333333333333,0.8223044808410662,0.8205128205128205,0.8208689458689458
26,328,27,0,26,9,38,5,328,35,43,0.8387096774193549,0.7428571428571429,0.8085106382978723,0.8837209302325582,0.787878787878788,0.8444444444444444,0.822061489185717,0.8205128205128205,0.8190624190624191
27,328,28,0,26,9,38,5,328,35,43,0.8387096774193549,0.7428571428571429,0.8085106382978723,0.8837209302325582,0.787878787878788,0.8444444444444444,0.822061489185717,0.8205128205128205,0.8190624190624191
28,328,29,0,26,9,37,6,328,35,43,0.8125,0.7428571428571429,0.8043478260869565,0.8604651162790697,0.7761194029850748,0.8314606741573034,0.8080058528428093,0.8076923076923077,0.8066280524774572
29,328,30,0,24,11,35,8,328,35,43,0.75,0.6857142857142857,0.7608695652173914,0.813953488372093,0.7164179104477612,0.7865168539325844,0.7559921962095876,0.7564102564102564,0.7550621998047791
30,328,31,0,26,9,42,1,328,35,43,0.9629629629629629,0.7428571428571429,0.8235294117647058,0.9767441860465116,0.8387096774193549,0.8936170212765957,0.8860957488408467,0.8717948717948718,0.8689791105714235
31,328,32,0,31,4,30,13,328,35,43,0.7045454545454546,0.8857142857142857,0.8823529411764706,0.6976744186046512,0.7848101265822784,0.7792207792207793,0.8025675305087069,0.782051282051282,0.7817288197035032
32,328,33,0,26,9,36,7,328,35,43,0.7878787878787878,0.7428571428571429,0.8,0.8372093023255814,0.7647058823529412,0.8181818181818183,0.7945609945609945,0.7948717948717948,0.7941862059509119
33,328,34,0,26,9,39,4,328,35,43,0.8666666666666667,0.7428571428571429,0.8125,0.9069767441860465,0.8,0.8571428571428572,0.8368055555555557,0.8333333333333334,0.8315018315018315
34,328,35,0,26,9,40,3,328,35,43,0.896551724137931,0.7428571428571429,0.8163265306122449,0.9302325581395349,0.8125,0.8695652173913043,0.8523250148865913,0.8461538461538461,0.8439590301003346
35,328,36,0,20,15,38,5,328,35,43,0.8,0.5714285714285714,0.7169811320754716,0.8837209302325582,0.6666666666666666,0.7916666666666666,0.7542331881954524,0.7435897435897436,0.7355769230769231
